ID,Intake ID,Excretion ID,Subject group,Population,Country,Cohort,Intake Time definition,Intake Assessment method,Intake,Intake detail,Supplement intakes included?,Intake Arithmetic mean,Intake Geometric mean,Intake Median,Intake Unit,Intake Adjusted on,Biomarker Time definition,Biospecimen,Analytical method,Biomarker,Biomarker detail,Biomarker Arithmetic mean,Biomarker Geometric mean,Biomarker Median,Biomarker Unit,Biomarker Adjusted on,Correlation size,Correlation type,Correlation value,Correlation 95% CI lower,Correlation 95% CI upper,Correlation p-value,Significant?,Measurement adjustment,Deattenuated?,Covariates,Publication
4190,4033,4013,All [by gender],Participants in the EPIC calibration study from nine European countries,France,EPIC (European Prospective Investigation into Cancer and Nutrition),,24-h Dietary recall (1-day),Fruits,"",,,,,missing unit,,,"Plasma, unspecified",HPLC,beta-Carotene,"",,,,umol/L,,2974,Spearman,0.12,,,< 0.05,Yes,,,,Al-Delaimy 2005
4210,4033,4014,All [by gender],Participants in the EPIC calibration study from nine European countries,France,EPIC (European Prospective Investigation into Cancer and Nutrition),,24-h Dietary recall (1-day),Fruits,"",,,,,missing unit,,,"Plasma, unspecified",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Zeaxanthin + Lycopene + Lutein + beta-Carotene,,,,umol/L,,2974,Spearman,0.21,,,< 0.05,Yes,,,,Al-Delaimy 2005
4092,4034,4008,All [by gender],Participants in the EPIC calibration study from nine European countries,France,EPIC (European Prospective Investigation into Cancer and Nutrition),,24-h Dietary recall (1-day),Citrus fruits,"",,,,,missing unit,,,"Plasma, unspecified",HPLC,Lutein,"",,,,umol/L,,2974,Spearman,0.09,,,< 0.05,Yes,,,,Al-Delaimy 2005
4112,4034,4009,All [by gender],Participants in the EPIC calibration study from nine European countries,France,EPIC (European Prospective Investigation into Cancer and Nutrition),,24-h Dietary recall (1-day),Citrus fruits,"",,,,,missing unit,,,"Plasma, unspecified",HPLC,Zeaxanthin,"",,,,umol/L,,2974,Spearman,0.1,,,< 0.05,Yes,,,,Al-Delaimy 2005
4132,4034,4010,All [by gender],Participants in the EPIC calibration study from nine European countries,France,EPIC (European Prospective Investigation into Cancer and Nutrition),,24-h Dietary recall (1-day),Citrus fruits,"",,,,,missing unit,,,"Plasma, unspecified",HPLC,beta-Cryptoxanthin,"",,,,umol/L,,2974,Spearman,0.26,,,< 0.05,Yes,,,,Al-Delaimy 2005
4212,4034,4014,All [by gender],Participants in the EPIC calibration study from nine European countries,France,EPIC (European Prospective Investigation into Cancer and Nutrition),,24-h Dietary recall (1-day),Citrus fruits,"",,,,,missing unit,,,"Plasma, unspecified",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Zeaxanthin + Lycopene + Lutein + beta-Carotene,,,,umol/L,,2974,Spearman,0.09,,,< 0.05,Yes,,,,Al-Delaimy 2005
4227,4095,4119,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Proteins,"",,,,,g/day,,,"Urine, 24-h",Spectrophotometry,Nitrogen,"",,,,g/day,,131,Pearson,0.27,,, ,Unspecified,,,,Malekshah 2006
4232,4095,4121,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Proteins,"",,,,,g/day,,,"Urine, 24-h",Spectrophotometry,Nitrogen,"",,,,g/day,,131,Pearson,0.29,,, ,Unspecified,,,,Malekshah 2006
4223,4096,4071,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin C,"",,,,,mg/day,,,"Serum, unspecified",Fluorometry,Vitamin C,"",19.21,,,umol/L,,103,Pearson,0.27,,, ,Unspecified,,,,Malekshah 2006
4228,4096,4115,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin C,"",,,,,mg/day,,,"Serum, unspecified",Fluorometry,Vitamin C,"",,,,umol/L,,103,Pearson,0.33,,, ,Unspecified,,,,Malekshah 2006
4224,4097,4122,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin A (Retinol Equivalents),"",,,,,ug/day,,,"Serum, unspecified",HPLC,Retinol,"",,,,umol/L,,131,Pearson,0.17,,, ,Unspecified,,,,Malekshah 2006
4229,4097,4116,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin A (Retinol Equivalents),"",,,,,ug/day,,,"Serum, unspecified",HPLC,Retinol,"",,,,umol/L,,131,Pearson,0.26,,, ,Unspecified,,,,Malekshah 2006
4226,4098,4123,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin E,"",,,,,mg/day,,,"Serum, unspecified",HPLC,alpha-Tocopherol,"",,,,umol/L,,131,Pearson,0.19,,, ,Unspecified,,,,Malekshah 2006
4231,4098,4118,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin E,"",,,,,mg/day,,,"Serum, unspecified",HPLC,alpha-Tocopherol,"",,,,umol/L,,131,Pearson,-0.01,,, ,Unspecified,,,,Malekshah 2006
4225,4099,4076,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),beta-Carotene,"",,,,,ug/day,,,"Serum, unspecified",HPLC,beta-Carotene,"",0.164,,,umol/L,,121,Pearson,0.19,,, ,Unspecified,,,,Malekshah 2006
4230,4099,4117,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),beta-Carotene,"",,,,,ug/day,,,"Serum, unspecified",HPLC,beta-Carotene,"",,,,umol/L,,121,Pearson,0.27,,, ,Unspecified,,,,Malekshah 2006
4237,4100,4121,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Proteins,"",,,,,g/day,,,"Urine, 24-h",Spectrophotometry,Nitrogen,"",,,,g/day,,131,Pearson,0.27,,, ,Unspecified,,,,Malekshah 2006
4233,4101,4115,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin C,"",,,,,mg/day,,,"Serum, unspecified",Fluorometry,Vitamin C,"",,,,umol/L,,103,Pearson,0.25,,, ,Unspecified,,,,Malekshah 2006
4234,4102,4116,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin A (Retinol Equivalents),"",,,,,ug/day,,,"Serum, unspecified",HPLC,Retinol,"",,,,umol/L,,131,Pearson,0.29,,, ,Unspecified,,,,Malekshah 2006
4236,4103,4118,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin E,"",,,,,mg/day,,,"Serum, unspecified",HPLC,alpha-Tocopherol,"",,,,umol/L,,131,Pearson,0.03,,, ,Unspecified,,,,Malekshah 2006
4235,4104,4117,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),beta-Carotene,"",,,,,ug/day,,,"Serum, unspecified",HPLC,beta-Carotene,"",,,,umol/L,,121,Pearson,0.31,,, ,Unspecified,,,,Malekshah 2006
4242,4105,4120,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Proteins,"",,,,,g/day,,,"Urine, 24-h",Spectrophotometry,Nitrogen,"",,,,g/day,,131,Pearson,0.12,,, ,Unspecified,,,,Malekshah 2006
4247,4105,4121,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Proteins,"",,,,,g/day,,,"Urine, 24-h",Spectrophotometry,Nitrogen,"",,,,g/day,,131,Pearson,0.23,,, ,Unspecified,,,,Malekshah 2006
4238,4106,4078,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin C,"",,,,,mg/day,,,"Serum, unspecified",Fluorometry,Vitamin C,"",25.68,,,umol/L,,103,Pearson,0.48,,, ,Unspecified,,,,Malekshah 2006
4243,4106,4115,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin C,"",,,,,mg/day,,,"Serum, unspecified",Fluorometry,Vitamin C,"",,,,umol/L,,103,Pearson,0.34,,, ,Unspecified,,,,Malekshah 2006
4239,4107,4124,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin A (Retinol Equivalents),"",,,,,ug/day,,,"Serum, unspecified",HPLC,Retinol,"",,,,umol/L,,131,Pearson,0.25,,, ,Unspecified,,,,Malekshah 2006
4244,4107,4116,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin A (Retinol Equivalents),"",,,,,ug/day,,,"Serum, unspecified",HPLC,Retinol,"",,,,umol/L,,131,Pearson,0.27,,, ,Unspecified,,,,Malekshah 2006
4241,4108,4125,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin E,"",,,,,mg/day,,,"Serum, unspecified",HPLC,alpha-Tocopherol,"",,,,umol/L,,131,Pearson,0.16,,, ,Unspecified,,,,Malekshah 2006
4246,4108,4118,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin E,"",,,,,mg/day,,,"Serum, unspecified",HPLC,alpha-Tocopherol,"",,,,umol/L,,131,Pearson,0.12,,, ,Unspecified,,,,Malekshah 2006
4240,4109,4083,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),beta-Carotene,"",,,,,ug/day,,,"Serum, unspecified",HPLC,beta-Carotene,"",0.198,,,umol/L,,121,Pearson,0.43,,, ,Unspecified,,,,Malekshah 2006
4245,4109,4117,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),beta-Carotene,"",,,,,ug/day,,,"Serum, unspecified",HPLC,beta-Carotene,"",,,,umol/L,,121,Pearson,0.44,,, ,Unspecified,,,,Malekshah 2006
4252,4110,4121,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Proteins,"",,,,,g/day,,,"Urine, 24-h",Spectrophotometry,Nitrogen,"",,,,g/day,,131,Pearson,0.35,,, ,Unspecified,,,,Malekshah 2006
4248,4111,4115,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin C,"",,,,,mg/day,,,"Serum, unspecified",Fluorometry,Vitamin C,"",,,,umol/L,,103,Pearson,0.25,,, ,Unspecified,,,,Malekshah 2006
4249,4112,4116,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin A (Retinol Equivalents),"",,,,,ug/day,,,"Serum, unspecified",HPLC,Retinol,"",,,,umol/L,,131,Pearson,0.27,,, ,Unspecified,,,,Malekshah 2006
4251,4113,4118,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin E,"",,,,,mg/day,,,"Serum, unspecified",HPLC,alpha-Tocopherol,"",,,,umol/L,,131,Pearson,0.07,,, ,Unspecified,,,,Malekshah 2006
4250,4114,4117,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),beta-Carotene,"",,,,,ug/day,,,"Serum, unspecified",HPLC,beta-Carotene,"",,,,umol/L,,121,Pearson,0.35,,, ,Unspecified,,,,Malekshah 2006
4222,4090,4121,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Proteins,"",,,,,g/day,,,"Urine, 24-h",Spectrophotometry,Nitrogen,"",,,,g/day,,131,Pearson,0.37,,, ,Unspecified,,,,Malekshah 2006
4218,4091,4115,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin C,"",,,,,mg/day,,,"Serum, unspecified",Fluorometry,Vitamin C,"",,,,umol/L,,103,Pearson,0.35,,, ,Unspecified,,,,Malekshah 2006
4219,4092,4116,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin A (Retinol Equivalents),"",,,,,ug/day,,,"Serum, unspecified",HPLC,Retinol,"",,,,umol/L,,131,Pearson,0.32,,, ,Unspecified,,,,Malekshah 2006
4221,4093,4118,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),Vitamin E,"",,,,,mg/day,,,"Serum, unspecified",HPLC,alpha-Tocopherol,"",,,,umol/L,,131,Pearson,0.06,,, ,Unspecified,,,,Malekshah 2006
4220,4094,4117,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,Food Frequency Questionnaire (FFQ),beta-Carotene,"",,,,,ug/day,,,"Serum, unspecified",HPLC,beta-Carotene,"",,,,umol/L,,121,Pearson,0.37,,, ,Unspecified,,,,Malekshah 2006
4217,4085,4121,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,24-h Dietary recall (2-day),Proteins,"",,,,,g/day,,,"Urine, 24-h",Spectrophotometry,Nitrogen,"",,,,g/day,,131,Pearson,0.38,,, ,Unspecified,,,,Malekshah 2006
4213,4086,4115,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,24-h Dietary recall (2-day),Vitamin C,"",,,,,mg/day,,,"Serum, unspecified",Fluorometry,Vitamin C,"",,,,umol/L,,103,Pearson,0.37,,, ,Unspecified,,,,Malekshah 2006
4214,4087,4116,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,24-h Dietary recall (2-day),Vitamin A (Retinol Equivalents),"",,,,,ug/day,,,"Serum, unspecified",HPLC,Retinol,"",,,,umol/L,,131,Pearson,0.26,,, ,Unspecified,,,,Malekshah 2006
4216,4088,4118,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,24-h Dietary recall (2-day),Vitamin E,"",,,,,mg/day,,,"Serum, unspecified",HPLC,alpha-Tocopherol,"",,,,umol/L,,131,Pearson,0.1,,, ,Unspecified,,,,Malekshah 2006
4215,4089,4117,All [by gender],Subjects from Golestan Province,"Iran, Islamic Republic of",GCS (Golestan Cohort Study),,24-h Dietary recall (2-day),beta-Carotene,"",,,,,ug/day,,,"Serum, unspecified",HPLC,beta-Carotene,"",,,,umol/L,,121,Pearson,0.35,,, ,Unspecified,,,,Malekshah 2006
4254,4289,4305,All [by diet],Men in Melbourne area participant in a study on diet and thrombotic risk factors,Australia,,,Food Frequency Questionnaire (FFQ),Stearic acid (18:0),"",,,,,g/day,,,"Plasma, fasting",GC-FID,Stearic acid (18:0),"",,,,mg/100 mL,,126,Unspecified,0.312,,,< 0.01,Yes,,,,Mann 2006
4255,4290,4307,All [by diet],Men in Melbourne area participant in a study on diet and thrombotic risk factors,Australia,,,Food Frequency Questionnaire (FFQ),"Fatty acids, saturated (SFA)",Palmitic acid (16:0) + Stearic acid (18:0) + Myristic acid (14:0),,,,,g/day,,,"Plasma, fasting",GC-FID,"Fatty acids, saturated (SFA)",Palmitic acid (16:0) + Stearic acid (18:0) + Myristic acid (14:0) + Arachidic acid (20:0),,,,mg/100 mL,,126,Unspecified,0.194,,,< 0.05,Yes,,,,Mann 2006
4256,4291,4321,All [by diet],Men in Melbourne area participant in a study on diet and thrombotic risk factors,Australia,,,Food Frequency Questionnaire (FFQ),cis-Octadecenoic acids (cis-18:1),"",,,,,g/day,,,"Plasma, fasting",GC-FID,cis-Octadecenoic acids (cis-18:1),Oleic acid (cis-18:1n-9) + Asclepic acid (cis-18:1n-7),,,,mg/100 mL,,126,Unspecified,0.188,,,< 0.05,Yes,,,,Mann 2006
4258,4295,4313,All [by diet],Men in Melbourne area participant in a study on diet and thrombotic risk factors,Australia,,,Food Frequency Questionnaire (FFQ),Arachidonic acid (AA; cis-20:4n-6),"",,,,,g/day,,,"Plasma, fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",,,,mg/100 mL,,126,Unspecified,0.275,,,< 0.01,Yes,,,,Mann 2006
4259,4296,4314,All [by diet],Men in Melbourne area participant in a study on diet and thrombotic risk factors,Australia,,,Food Frequency Questionnaire (FFQ),EPA (cis-20:5n-3),"",,,,,g/day,,,"Plasma, fasting",GC-FID,EPA (cis-20:5n-3),"",,,,mg/100 mL,,126,Unspecified,0.394,,,< 0.01,Yes,,,,Mann 2006
4260,4297,4315,All [by diet],Men in Melbourne area participant in a study on diet and thrombotic risk factors,Australia,,,Food Frequency Questionnaire (FFQ),DPA (cis-22:5n-3),"",,,,,g/day,,,"Plasma, fasting",GC-FID,DPA (cis-22:5n-3),"",,,,mg/100 mL,,126,Unspecified,0.344,,,< 0.01,Yes,,,,Mann 2006
4261,4298,4316,All [by diet],Men in Melbourne area participant in a study on diet and thrombotic risk factors,Australia,,,Food Frequency Questionnaire (FFQ),DHA (cis-22:6n-3),"",,,,,g/day,,,"Plasma, fasting",GC-FID,DHA (cis-22:6n-3),"",,,,mg/100 mL,,126,Unspecified,0.409,,,< 0.01,Yes,,,,Mann 2006
4263,4302,4320,All [by diet],Men in Melbourne area participant in a study on diet and thrombotic risk factors,Australia,,,Food Frequency Questionnaire (FFQ),"Fatty acids, n3-polyunsaturated (n3-PUFA)",EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),,,,,g/day,,,"Plasma, fasting",GC-FID,"Fatty acids, n3-polyunsaturated (n3-PUFA)",EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),,,,mg/100 mL,,126,Unspecified,0.474,,,< 0.01,Yes,,,,Mann 2006
4264,4409,4415,All [by diet],Volunteers from the Dunedin area,New Zealand,,,Dietary record (4-day),"Fatty acids, saturated (SFA)","",,,,,g/day,,,"Plasma, fasting",GC-FID,Myristic acid (14:0),"",,,,percentRoot,,129,Pearson,0.34,,,< 0.001,Yes,,,,Skeaff 2006
4270,4409,4416,All [by diet],Volunteers from the Dunedin area,New Zealand,,,Dietary record (4-day),"Fatty acids, saturated (SFA)","",,,,,g/day,,,"Plasma, fasting",GC-FID,Pentadecylic acid (15:0),"",,,,percentRoot,,129,Pearson,0.42,,,< 0.001,Yes,,,,Skeaff 2006
4276,4409,4417,All [by diet],Volunteers from the Dunedin area,New Zealand,,,Dietary record (4-day),"Fatty acids, saturated (SFA)","",,,,,g/day,,,"Plasma, fasting",GC-FID,Palmitic acid (16:0),"",,,,percentRoot,,129,Pearson,-0.06,,,< 0.476,No,,,,Skeaff 2006
4265,4410,4415,All [by diet],Volunteers from the Dunedin area,New Zealand,,,Dietary record (4-day),"Fatty acids, saturated (SFA)","",,,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Myristic acid (14:0),"",,,,percentRoot,,129,Pearson,0.45,,,< 0.001,Yes,,,,Skeaff 2006
4271,4410,4416,All [by diet],Volunteers from the Dunedin area,New Zealand,,,Dietary record (4-day),"Fatty acids, saturated (SFA)","",,,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Pentadecylic acid (15:0),"",,,,percentRoot,,129,Pearson,0.55,,,< 0.001,Yes,,,,Skeaff 2006
4277,4410,4417,All [by diet],Volunteers from the Dunedin area,New Zealand,,,Dietary record (4-day),"Fatty acids, saturated (SFA)","",,,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Palmitic acid (16:0),"",,,,percentRoot,,129,Pearson,-0.03,,,< 0.718,No,,,,Skeaff 2006
4266,4411,4415,All [by diet],Volunteers from the Dunedin area,New Zealand,,,Dietary record (4-day),"Fatty acids, saturated (SFA)","",,,,,percentRoot,,,"Plasma, fasting",GC-FID,Myristic acid (14:0),"",,,,percentRoot,,129,Pearson,0.56,,,< 0.001,Yes,,,,Skeaff 2006
4272,4411,4416,All [by diet],Volunteers from the Dunedin area,New Zealand,,,Dietary record (4-day),"Fatty acids, saturated (SFA)","",,,,,percentRoot,,,"Plasma, fasting",GC-FID,Pentadecylic acid (15:0),"",,,,percentRoot,,129,Pearson,0.59,,,< 0.001,Yes,,,,Skeaff 2006
4278,4411,4417,All [by diet],Volunteers from the Dunedin area,New Zealand,,,Dietary record (4-day),"Fatty acids, saturated (SFA)","",,,,,percentRoot,,,"Plasma, fasting",GC-FID,Palmitic acid (16:0),"",,,,percentRoot,,129,Pearson,0.15,,,< 0.1,No,,,,Skeaff 2006
4282,4424,4418,All,Type I diabetic patients,Spain,,,Food Frequency Questionnaire (FFQ),Lutein,"",,1268.0,,,ug/day,,,"Serum, fasting",HPLC,Lutein,"",0.21,,,umol/L,,40,Spearman,0.4,,,< 0.05,Yes,,,,Granado-Lorencio 2006
4283,4425,4419,All,Type I diabetic patients,Spain,,,Food Frequency Questionnaire (FFQ),Zeaxanthin,"",,110.0,,,ug/day,,,"Serum, fasting",HPLC,Zeaxanthin,"",0.07,,,umol/L,,40,Spearman,0.49,,,< 0.001,Yes,,,,Granado-Lorencio 2006
4284,4426,4420,All,Type I diabetic patients,Spain,,,Food Frequency Questionnaire (FFQ),beta-Cryptoxanthin,"",,515.0,,,ug/day,,,"Serum, fasting",HPLC,beta-Cryptoxanthin,"",0.42,,,umol/L,,40,Spearman,0.74,,,< 0.001,Yes,,,,Granado-Lorencio 2006
4285,4427,4421,All,Type I diabetic patients,Spain,,,Food Frequency Questionnaire (FFQ),Lycopene,"",,3292.0,,,ug/day,,,"Serum, fasting",HPLC,Lycopene,"",0.56,,,umol/L,,40,Spearman,0.2,,,>= 0.05,No,,,,Granado-Lorencio 2006
4286,4428,4422,All,Type I diabetic patients,Spain,,,Food Frequency Questionnaire (FFQ),alpha-Carotene,"",,367.0,,,ug/day,,,"Serum, fasting",HPLC,alpha-Carotene,"",0.08,,,umol/L,,40,Spearman,0.41,,,< 0.001,Yes,,,,Granado-Lorencio 2006
4287,4429,4423,All,Type I diabetic patients,Spain,,,Food Frequency Questionnaire (FFQ),beta-Carotene,"",,1942.0,,,ug/day,,,"Serum, fasting",HPLC,beta-Carotene,"",0.39,,,umol/L,,40,Spearman,0.42,,,< 0.001,Yes,,,,Granado-Lorencio 2006
4288,4430,4418,All,Type I diabetic patients,Spain,,,Dietary record (3-day),Lutein,"",,717.0,,,ug/day,,,"Serum, fasting",HPLC,Lutein,"",0.21,,,umol/L,,40,Spearman,0.24,,,>= 0.05,No,,,,Granado-Lorencio 2006
4289,4431,4419,All,Type I diabetic patients,Spain,,,Dietary record (3-day),Zeaxanthin,"",,97.0,,,ug/day,,,"Serum, fasting",HPLC,Zeaxanthin,"",0.07,,,umol/L,,40,Spearman,0.18,,,>= 0.05,No,,,,Granado-Lorencio 2006
4290,4432,4420,All,Type I diabetic patients,Spain,,,Dietary record (3-day),beta-Cryptoxanthin,"",,664.0,,,ug/day,,,"Serum, fasting",HPLC,beta-Cryptoxanthin,"",0.42,,,umol/L,,40,Spearman,0.61,,,< 0.001,Yes,,,,Granado-Lorencio 2006
4291,4433,4421,All,Type I diabetic patients,Spain,,,Dietary record (3-day),Lycopene,"",,2785.0,,,ug/day,,,"Serum, fasting",HPLC,Lycopene,"",0.56,,,umol/L,,40,Spearman,0.2,,,>= 0.05,No,,,,Granado-Lorencio 2006
4292,4434,4422,All,Type I diabetic patients,Spain,,,Dietary record (3-day),alpha-Carotene,"",,192.0,,,ug/day,,,"Serum, fasting",HPLC,alpha-Carotene,"",0.08,,,umol/L,,40,Spearman,0.08,,,>= 0.05,No,,,,Granado-Lorencio 2006
4293,4435,4423,All,Type I diabetic patients,Spain,,,Dietary record (3-day),beta-Carotene,"",,1031.0,,,ug/day,,,"Serum, fasting",HPLC,beta-Carotene,"",0.39,,,umol/L,,40,Spearman,0.08,,,>= 0.05,No,,,,Granado-Lorencio 2006
4298,4437,4438,All,Breast cancer survivors from the non-intervention group of the WHEL study,United States,WHEL (Women's Healthy Eating and Living),,Food Frequency Questionnaire (FFQ),Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,Yes,24.88,,,mg/day,,,"Plasma, fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,2.4,,,mmol/L,,1013,Pearson,0.35,,, ,Unspecified,,,,Natarajan 2006
4299,4437,4443,All,Breast cancer survivors from the non-intervention group of the WHEL study,United States,WHEL (Women's Healthy Eating and Living),,Food Frequency Questionnaire (FFQ),Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,Yes,24.88,,,mg/day,,,"Plasma, fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,2.34,,,mmol/L,,1013,Pearson,0.28,,, ,Unspecified,,,,Natarajan 2006
4300,4442,4438,All,Breast cancer survivors from the non-intervention group of the WHEL study,United States,WHEL (Women's Healthy Eating and Living),,Food Frequency Questionnaire (FFQ),Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,Yes,25.31,,,mg/day,,,"Plasma, fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,2.4,,,mmol/L,,1013,Pearson,0.29,,, ,Unspecified,,,,Natarajan 2006
4301,4442,4443,All,Breast cancer survivors from the non-intervention group of the WHEL study,United States,WHEL (Women's Healthy Eating and Living),,Food Frequency Questionnaire (FFQ),Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,Yes,25.31,,,mg/day,,,"Plasma, fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,2.34,,,mmol/L,,1013,Pearson,0.31,,, ,Unspecified,,,,Natarajan 2006
