ID,Title,First author,Authors,Year,Journal,Volume,Issue,Pages,PubMed ID,DOI,Study design,No. of Biomarkers,No. of Intake values,No. of Concentration values,No. of Reproducibility values,No. of Correlation values,No. of Metabolomic associations,No. of Cancer associations
540,Phthalate and di-(2-ethylhexyl) adipate (DEHA) intake by German infants based on the results of a duplicate diet study and biomonitoring data (INES 2),Fromme,"Fromme, H.; Gruber, L.; Schuster, R.; Schlummer, M.; Kiranoglu, M.; Bolte, G.; Volkel, W.",2013,Food Chem Toxicol,53,,272-280,23246700,10.1016/j.fct.2012.12.004,Observation,20,0,13,0,0,0,0
541,"Phthalate exposure among pregnant women in Jerusalem, Israel: results of a pilot study",Berman,"Berman, T.; Hochner-Celnikier, D.; Calafat, A. M.; Needham, L. L.; Amitai, Y.; Wormser, U.; Richter, E.",2009,Environ Int,35,2,353-357,18824263,10.1016/j.envint.2008.08.010,Observation,11,0,11,0,0,0,0
542,Urinary concentrations of phthalates and phenols in a population of Spanish pregnant women and children,Casas,"Casas, L.; Fernandez, M. F.; Llop, S.; Guxens, M.; Ballester, F.; Olea, N.; Irurzun, M. B.; Rodriguez, L. S.; Riano, I.; Tardon, A.; Vrijheid, M.; Calafat, A. M.; Sunyer, J.",2011,Environ Int,37,5,858-866,21440302,10.1016/j.envint.2011.02.012,Observation,12,0,24,0,0,0,0
543,The internal exposure of Taiwanese to phthalate--an evidence of intensive use of plastic materials,Chen,"Chen, M. L.; Chen, J. S.; Tang, C. L.; Mao, I. F.",2008,Environ Int,34,1,79-85,17765308,10.1016/j.envint.2007.07.004,Observation,5,0,5,0,0,0,0
544,Urinary excretion of phthalate metabolites in 129 healthy Danish children and adolescents: estimation of daily phthalate intake,Frederiksen,"Frederiksen, H.; Aksglaede, L.; Sorensen, K.; Skakkebaek, N. E.; Juul, A.; Andersson, A. M.",2011,Environ Res,111,5,656-663,21429484,10.1016/j.envres.2011.03.005,Observation,15,0,9,0,0,0,0
546,"An estimate of phthalate exposure among pregnant women living in Trujillo, Peru",Irvin,"Irvin, E. A.; Calafat, A. M.; Silva, M. J.; Aguilar-Villalobos, M.; Needham, L. L.; Hall, D. B.; Cassidy, B.; Naeher, L. P.",2010,Chemosphere,80,11,1301-1307,20701950,10.1016/j.chemosphere.2010.06.048,Observation,9,0,17,0,0,0,0
547,"Urinary metabolite concentrations of organophosphorous pesticides, bisphenol A, and phthalates among pregnant women in Rotterdam, the Netherlands: The Generation R study",Ye,"Ye, X.; Pierik, F. H.; Hauser, R.; Duty, S.; Angerer, J.; Park, M. M.; Burdorf, A.; Hofman, A.; Jaddoe, V. W.; Mackenbach, J. P.; Steegers, E. A.; Tiemeier, H.; Longnecker, M. P.",2008,Environ Res,108,2,260-267,18774129,10.1016/j.envres.2008.07.014,Observation,15,0,26,0,0,0,0
549,Urinary phthalate metabolites and their biotransformation products: predictors and temporal variability among men and women,Meeker,"Meeker, J. D.; Calafat, A. M.; Hauser, R.",2012,J Expo Sci Environ Epidemiol,22,4,376-385,22354176,10.1038/jes.2012.7,Observation,8,0,15,15,0,0,0
551,Determinants of urinary bisphenol A concentrations in Mexican/Mexican–American pregnant women,Quiros-Alcala,"Quiros-Alcala, L.; Eskenazi, B.; Bradman, A.; Ye, X.; Calafat, A. M.; Harley, K.",2013,Environ Int,59,,152-160,23816546,10.1016/j.envint.2013.05.016,Observation,1,0,6,3,0,0,0
556,Phthalates and their metabolites in breast milk--results from the Bavarian Monitoring of Breast Milk (BAMBI),Fromme,"Fromme, H.; Gruber, L.; Seckin, E.; Raab, U.; Zimmermann, S.; Kiranoglu, M.; Schlummer, M.; Schwegler, U.; Smolic, S.; Volkel, W.",2011,Environ Int,37,4,715-722,21406311,10.1016/j.envint.2011.02.008,Observation,11,0,6,0,0,0,0
557,Quantitative identification of unknown exposure pathways of phthalates based on measuring their metabolites in human urine,Itoh,"Itoh, H.; Yoshida, K.; Masunaga, S.",2007,Environ Sci Technol,41,13,4542-4547,17695894,,Observation,5,0,5,0,0,0,0
558,Variability of phthalate monoester levels in daily first-morning urine from adult women: a pilot study,Marcus,"Marcus, M.; Christensen, K. Y.; Manatunga, A.; Rudra, C. B.; Brock, J. W.; Small, C. M.",2010,Rev Environ Health,25,4,359-368,21268450,,Observation,4,0,8,4,0,0,0
563,Proline betaine and its biotransformation products in fasting urine samples are potential biomarkers of habitual citrus fruit consumption,Lloyd,"Lloyd, A. J.; Beckmann, M.; Fave, G.; Mathers, J. C.; Draper, J.",2011,Br J Nutr,106,6,812-824,21736852,10.1017/S0007114511001164,Observation; Intervention,5,0,0,0,0,9,0
564,Dietary intake patterns are reflected in metabolomic profiles: potential role in dietary assessment studies,O'Sullivan,"O'Sullivan, A.; Gibney, M. J.; Brennan, L.",2011,Am J Clin Nutr,93,2,314-321,21177801,10.3945/ajcn.110.000950,Observation,2,0,0,0,0,2,0
565,Discovery and validation of urinary exposure markers for different plant foods by untargeted metabolomics,Andersen,"Andersen, M. B.; Kristensen, M.; Manach, C.; Pujos-Guillot, E.; Poulsen, S. K.; Larsen, T. M.; Astrup, A.; Dragsted, L.",2014,Anal Bioanal Chem,406,7,1829-1844,24390407,10.1007/s00216-013-7498-5,Observation,17,0,0,0,0,17,0
566,Human metabolome associates with dietary intake habits among African Americans in the atherosclerosis risk in communities study,Zheng,"Zheng, Y.; Yu, B.; Alexander, D.; Steffen, L. M.; Boerwinkle, E.",2014,Am J Epidemiol,179,12,1424-1433,24801555,10.1093/aje/kwu073,Observation,25,0,0,0,0,27,0
567,Mass spectrometry-based metabolomics for the discovery of biomarkers of fruit and vegetable intake: citrus fruit as a case study,Pujos-Guillot,"Pujos-Guillot, E.; Hubert, J.; Martin, J. F.; Lyan, B.; Quintana, M.; Claude, S.; Chabanas, B.; Rothwell, J. A.; Bennetau-Pelissero, C.; Scalbert, A.; Comte, B.; Hercberg, S.; Morand, C.; Galan, P.; Manach, C.",2013,J Proteome Res,12,4,1645-1659,23425595,10.1021/pr300997c,Observation,7,0,0,0,0,7,0
568,Metabolic profiling strategy for discovery of nutritional biomarkers: proline betaine as a marker of citrus consumption,Heinzmann,"Heinzmann, S. S.; Brown, I. J.; Chan, Q.; Bictash, M.; Dumas, M. E.; Kochhar, S.; Stamler, J.; Holmes, E.; Elliott, P.; Nicholson, J. K.",2010,Am J Clin Nutr,92,2,436-443,20573794,10.3945/ajcn.2010.29672,Intervention,3,0,0,0,0,3,0
569,Discovery of urinary biomarkers of whole grain rye intake in free-living subjects using nontargeted LC-MS metabolite profiling,Hanhineva,"Hanhineva, K.; Brunius, C.; Andersson, A.; Marklund, M.; Juvonen, R.; Keski-Rahkonen, P.; Auriola, S.; Landberg, R.",2015,Mol Nutr Food Res,59,11,2315-2325,26264776,10.1002/mnfr.201500423,Observation,6,0,0,6,12,6,0
570,Novel multimetabolite prediction of walnut consumption by a urinary biomarker model in a free-living population: the PREDIMED study,Garcia-Aloy,"Garcia-Aloy, M.; Llorach, R.; Urpi-Sarda, M.; Tulipani, S.; Estruch, R.; Martinez-Gonzalez, M. A.; Corella, D.; Fito, M.; Ros, E.; Salas-Salvado, J.; Andres-Lacueva, C.",2014,J Proteome Res,13,7,3476-3483,24882253,10.1021/pr500425r,Observation,10,0,0,0,0,10,0
571,Polyphenol metabolome in human urine and its association with intake of polyphenol-rich foods across European countries,Edmands,"Edmands, W. M.; Ferrari, P.; Rothwell, J. A.; Rinaldi, S.; Slimani, N.; Barupal, D. K.; Biessy, C.; Jenab, M.; Clavel-Chapelon, F.; Fagherazzi, G.; Boutron-Ruault, M. C.; Katzke, V. A.; Kuhn, T.; Boeing, H.; Trichopoulou, A.; Lagiou, P.; Trichopoulos, D.; Palli, D.; Grioni, S.; Tumino, R.; Vineis, P.; Mattiello, A.; Romieu, I.; Scalbert, A.",2015,Am J Clin Nutr,102,4,905-913,26269369,10.3945/ajcn.114.101881,Observation,33,0,0,0,39,39,0
572,Serum biomarkers of habitual coffee consumption may provide insight into the mechanism underlying the association between coffee consumption and colorectal cancer,Guertin,"Guertin, K. A.; Loftfield, E.; Boca, S. M.; Sampson, J. N.; Moore, S. C.; Xiao, Q.; Huang, W. Y.; Xiong, X.; Freedman, N. D.; Cross, A. J.; Sinha, R.",2015,Am J Clin Nutr,101,5,1000-1011,25762808,10.3945/ajcn.114.096099,Observation,17,0,0,0,17,17,0
573,Metabolomics in nutritional epidemiology: identifying metabolites associated with diet and quantifying their potential to uncover diet-disease relations in populations,Guertin,"Guertin, K. A.; Moore, S. C.; Sampson, J. N.; Huang, W. Y.; Xiao, Q.; Stolzenberg-Solomon, R. Z.; Sinha, R.; Cross, A. J.",2014,Am J Clin Nutr,100,1,208-217,24740205,10.3945/ajcn.113.078758,Observation,32,0,0,9,36,36,0
574,New biomarkers of coffee consumption identified by the non-targeted metabolomic profiling of cohort study subjects,Rothwell,"Rothwell, J. A.; Fillatre, Y.; Martin, J. F.; Lyan, B.; Pujos-Guillot, E.; Fezeu, L.; Hercberg, S.; Comte, B.; Galan, P.; Touvier, M.; Manach, C.",2014,PLoS One,9,4,e93474,24713823,10.1371/journal.pone.0093474,Observation,13,0,0,0,5,13,0
575,Comparing metabolite profiles of habitual diet in serum and urine,Playdon,"Playdon, M. C.; Sampson, J. N.; Cross, A. J.; Sinha, R.; Guertin, K. A.; Moy, K. A.; Rothman, N.; Irwin, M. L.; Mayne, S. T.; Stolzenberg-Solomon, R.; Moore, S. C.",2016,Am J Clin Nutr,104,3,776-789,27510537,10.3945/ajcn.116.135301,Observation,46,0,0,0,80,80,0
576,"Nontargeted metabolite profiling discriminates diet-specific biomarkers for consumption of whole grains, fatty fish, and bilberries in a randomized controlled trial",Hanhineva,"Hanhineva, K.; Lankinen, M. A.; Pedret, A.; Schwab, U.; Kolehmainen, M.; Paananen, J.; de Mello, V.; Sola, R.; Lehtonen, M.; Poutanen, K.; Uusitupa, M.; Mykkanen, H.",2015,J Nutr,145,1,7-17,25527657,10.3945/jn.114.196840,Observation,5,0,0,0,5,5,0
577,Use of mass spectrometry fingerprinting to identify urinary metabolites after consumption of specific foods,Lloyd,"Lloyd, A. J.; Fave, G.; Beckmann, M.; Lin, W.; Tailliart, K.; Xie, L.; Mathers, J. C.; Draper, J.",2011,Am J Clin Nutr,94,4,981-991,21865330,10.3945/ajcn.111.017921,Intervention,8,0,0,0,0,10,0
578,Characterizing Blood Metabolomics Profiles Associated with Self-Reported Food Intakes in Female Twins,Pallister,"Pallister, T.; Jennings, A.; Mohney, R. P.; Yarand, D.; Mangino, M.; Cassidy, A.; MacGregor, A.; Spector, T. D.; Menni, C.",2016,PLoS One,11,6,e0158568,27355821,10.1371/journal.pone.0158568,Observation,55,0,0,0,0,76,0
579,(1)H-NMR-based metabolomic analysis of the effect of moderate wine consumption on subjects with cardiovascular risk factors,Vazquez-Fresno,"Vazquez-Fresno, R.; Llorach, R.; Alcaro, F.; Rodriguez, M. A.; Vinaixa, M.; Chiva-Blanch, G.; Estruch, R.; Correig, X.; Andres-Lacueva, C.",2012,Electrophoresis,33,15,2345-2354,22887155,10.1002/elps.201100646,Intervention,6,0,0,0,0,6,0
580,A metabolomics approach to the identification of biomarkers of sugar-sweetened beverage intake,Gibbons,"Gibbons, H.; McNulty, B. A.; Nugent, A. P.; Walton, J.; Flynn, A.; Gibney, M. J.; Brennan, L.",2015,Am J Clin Nutr,101,3,471-477,25733631,10.3945/ajcn.114.095604,Observation; Intervention,5,0,8,0,0,9,0
581,Nutrimetabolomics fingerprinting to identify biomarkers of bread exposure in a free-living population from the PREDIMED study cohort,Garcia-Aloy,"Garcia-Aloy, M.; Llorach., R; Urpi-Sarda, M.; Tulipani, S.; Salas-Salvado, J.; Martinez-Gonzalez, M.A.; Corella, D.; Fito, M.; Estruch, R.; Serra-Majem, L.; Andres-Lacueva, C.",2015,Metabolomics,11,1,155-165,,10.1007/s11306-014-0682-6,Observation,16,0,0,0,0,23,0
583,Discovery of exposure markers in urine for Brassica-containing meals served with different protein sources by UPLC-qTOF-MS untargeted metabolomics,Andersen,"Andersen, M-B. S.; Reinbach, H. C.; Rinnan, A; Barri, T.; Mithril, C.; Dragsted, L. O.",2013,Metabolomics,9,5,984-997,,10.1007/s11306-013-0522-0,Intervention,9,0,0,0,0,9,0
585,A prospective study of one-carbon metabolism biomarkers and risk of renal cell carcinoma,Gibson,"Gibson, T. M.; Weinstein, S. J.; Mayne, S. T.; Pfeiffer, R. M.; Selhub, J.; Taylor, P. R.; Virtamo, J.; Albanes, D.; Stolzenberg-Solomon, R.",2010,Cancer Causes Control,21,7,1061-1069,20383577,10.1007/s10552-010-9534-5,Nested case-control study,5,0,0,0,0,0,5
588,"Plasma carotenoids, vitamin C, tocopherols, and retinol and the risk of breast cancer in the European Prospective Investigation into Cancer and Nutrition cohort",Bakker,"Bakker, M. F.; Peeters, P. H.; Klaasen, V. M.; Bueno-de-Mesquita, H. B.; Jansen, E. H.; Ros, M. M.; Travier, N.; Olsen, A.; Tjonneland, A.; Overvad, K.; Rinaldi, S.; Romieu, I.; Brennan, P.; Boutron-Ruault, M. C.; Perquier, F.; Cadeau, C.; Boeing, H.; Aleksandrova, K.; Kaaks, R.; Kuhn, T.; Trichopoulou, A.; Lagiou, P.; Trichopoulos, D.; Vineis, P.; Krogh, V.; Panico, S.; Masala, G.; Tumino, R.; Weiderpass, E.; Skeie, G.; Lund, E.; Quiros, J. R.; Ardanaz, E.; Navarro, C.; Amiano, P.; Sanchez, M. J.; Buckland, G.; Ericson, U.; Sonestedt, E.; Johansson, M.; Sund, M.; Travis, R. C.; Key, T. J.; Khaw, K. T.; Wareham, N.; Riboli, E.; van Gils, C. H.",2016,Am J Clin Nutr,103,2,454-464,26791185,10.3945/ajcn.114.101659,Nested case-control study,11,0,0,0,0,0,10
590,"Association of serum alpha-tocopherol, beta-carotene, and retinol with liver cancer incidence and chronic liver disease mortality",Lai,"Lai, G. Y.; Weinstein, S. J.; Albanes, D.; Taylor, P. R.; Virtamo, J.; McGlynn, K. A.; Freedman, N. D.",2014,Br J Cancer,111,11,2163-2171,25314058,10.1038/bjc.2014.365,Prospective cohort study,3,0,0,0,0,0,3
591,"Plasma carotenoids, vitamin C, retinol and tocopherols levels and pancreatic cancer risk within the European Prospective Investigation into Cancer and Nutrition: a nested case-control study: plasma micronutrients and pancreatic cancer risk",Jeurnink,"Jeurnink, S. M.; Ros, M. M.; Leenders, M.; van Duijnhoven, F. J.; Siersema, P. D.; Jansen, E. H.; van Gils, C. H.; Bakker, M. F.; Overvad, K.; Roswall, N.; Tjonneland, A.; Boutron-Ruault, M. C.; Racine, A.; Cadeau, C.; Grote, V.; Kaaks, R.; Aleksandrova, K.; Boeing, H.; Trichopoulou, A.; Benetou, V.; Valanou, E.; Palli, D.; Krogh, V.; Vineis, P.; Tumino, R.; Mattiello, A.; Weiderpass, E.; Skeie, G.; Castano, J. M.; Duell, E. J.; Barricarte, A.; Molina-Montes, E.; Arguelles, M.; Dorronsoro, M.; Johansen, D.; Lindkvist, B.; Sund, M.; Crowe, F. L.; Khaw, K. T.; Jenab, M.; Fedirko, V.; Riboli, E.; Bueno-de-Mesquita, H. B.",2015,Int J Cancer,136,6,E665-E676,25175624,10.1002/ijc.29175,Nested case-control study,11,0,0,0,0,0,11
593,"Plasma and dietary carotenoids and vitamins A, C and E and risk of colon and rectal cancer in the European Prospective Investigation into Cancer and Nutrition",Leenders,"Leenders, M.; Leufkens, A. M.; Siersema, P. D.; van Duijnhoven, F. J.; Vrieling, A.; Hulshof, P. J.; van Gils, C. H.; Overvad, K.; Roswall, N.; Kyro, C.; Boutron-Ruault, M. C.; Fagerhazzi, G.; Cadeau, C.; Kuhn, T.; Johnson, T.; Boeing, H.; Aleksandrova, K.; Trichopoulou, A.; Klinaki, E.; Androulidaki, A.; Palli, D.; Grioni, S.; Sacerdote, C.; Tumino, R.; Panico, S.; Bakker, M. F.; Skeie, G.; Weiderpass, E.; Jakszyn, P.; Barricarte, A.; Maria Huerta, J.; Molina-Montes, E.; Arguelles, M.; Johansson, I.; Ljuslinder, I.; Key, T. J.; Bradbury, K. E.; Khaw, K. T.; Wareham, N. J.; Ferrari, P.; Duarte-Salles, T.; Jenab, M.; Gunter, M. J.; Vergnaud, A. C.; Wark, P. A.; Bueno-de-Mesquita, H. B.",2014,Int J Cancer,135,12,2930-2939,24771392,10.1002/ijc.28938,Nested case-control study,13,0,0,0,0,0,13
594,Serum beta-carotene in relation to risk of prostate cancer: the Kuopio Ischaemic Heart Disease Risk Factor study,Karppi,"Karppi, J.; Kurl, S.; Laukkanen, J. A.; Kauhanen, J.",2012,Nutr Cancer,64,3,361-367,22420939,10.1080/01635581.2012.658949,Prospective cohort study,5,0,0,0,0,0,5
595,Serum alpha-tocopherol and gamma-tocopherol concentrations and prostate cancer risk in the PLCO Screening Trial: a nested case-control study,Weinstein,"Weinstein, S. J.; Peters, U.; Ahn, J.; Friesen, M. D.; Riboli, E.; Hayes, R. B.; Albanes, D.",2012,PLoS One,7,7,e40204,22792240,10.1371/journal.pone.0040204,Nested case-control study,2,0,0,0,0,0,2
596,Plasma selenium concentration and prostate cancer risk: results from the European Prospective Investigation into Cancer and Nutrition (EPIC),Allen,"Allen, N. E.; Appleby, P. N.; Roddam, A. W.; Tjonneland, A.; Johnsen, N. F.; Overvad, K.; Boeing, H.; Weikert, S.; Kaaks, R.; Linseisen, J.; Trichopoulou, A.; Misirli, G.; Trichopoulos, D.; Sacerdote, C.; Grioni, S.; Palli, D.; Tumino, R.; Bueno-de-Mesquita, H. B.; Kiemeney, L. A.; Barricarte, A.; Larranaga, N.; Sanchez, M. J.; Agudo, A.; Tormo, M. J.; Rodriguez, L.; Stattin, P.; Hallmans, G.; Bingham, S.; Khaw, K. T.; Slimani, N.; Rinaldi, S.; Boffetta, P.; Riboli, E.; Key, T. J.",2008,Am J Clin Nutr,88,6,1567-1575,19064517,10.3945/ajcn.2008.26205,Nested case-control study,1,0,0,0,0,0,1
597,"Association between alpha-tocopherol, gamma-tocopherol, selenium, and subsequent prostate cancer",Helzlsouer,"Helzlsouer, K. J.; Huang, H. Y.; Alberg, A. J.; Hoffman, S.; Burke, A.; Norkus, E. P.; Morris, J. S.; Comstock, G. W.",2000,J Natl Cancer Inst,92,24,2018-2023,11121464,,Nested case-control study,3,0,0,0,0,0,3
598,Vitamin E and smoking and the risk of lung cancer,Knekt,"Knekt, P.",1993,Ann N Y Acad Sci,686,,280-7; discussion 287,8512253,,Nested case-control study,4,0,0,0,0,0,4
601,Prediagnostic serum tocopherol levels and the risk of non-hodgkin lymphoma: the multiethnic cohort,Morimoto,"Morimoto, Y.; Ollberding, N. J.; Cooney, R. V.; Wilkens, L. R.; Franke, A. A.; Le Marchand, L.; Goodman, M. T.; Hernandez, B. Y.; Kolonel, L. N.; Maskarinec, G.",2013,Cancer Epidemiol Biomarkers Prev,22,11,2075-2083,24045922,10.1158/1055-9965.EPI-13-0522,Nested case-control study,4,0,0,0,0,0,4
602,"Serum carotenoid, tocopherol and retinol concentrations and breast cancer risk in the E3N-EPIC study",Maillard,"Maillard, V.; Kuriki, K.; Lefebvre, B.; Boutron-Ruault, M. C.; Lenoir, G. M.; Joulin, V.; Clavel-Chapelon, F.; Chajes, V.",2010,Int J Cancer,127,5,1188-1196,20039325,10.1002/ijc.25138,Nested case-control study,12,0,0,0,0,0,12
603,"Association of selenium, tocopherols, carotenoids, retinol, and 15-isoprostane F(2t) in serum or urine with prostate cancer risk: the multiethnic cohort",Gill,"Gill, J. K.; Franke, A. A.; Steven Morris, J.; Cooney, R. V.; Wilkens, L. R.; Le Marchand, L.; Goodman, M. T.; Henderson, B. E.; Kolonel, L. N.",2009,Cancer Causes Control,20,7,1161-1171,19212706,10.1007/s10552-009-9304-4,Nested case-control study,10,0,0,0,0,0,10
604,"Plasma carotenoids, retinol, and tocopherols and postmenopausal breast cancer risk in the Multiethnic Cohort Study: a nested case-control study",Epplein,"Epplein, M.; Shvetsov, Y. B.; Wilkens, L. R.; Franke, A. A.; Cooney, R. V.; Le Marchand, L.; Henderson, B. E.; Kolonel, L. N.; Goodman, M. T.",2009,Breast Cancer Res,11,4,R49,19619335,10.1186/bcr2338,Nested case-control study,20,0,0,0,0,0,20
605,Association of plasma micronutrient levels and urinary isoprostane with risk of lung cancer: the multiethnic cohort study,Epplein,"Epplein, M.; Franke, A. A.; Cooney, R. V.; Morris, J. S.; Wilkens, L. R.; Goodman, M. T.; Murphy, S. P.; Henderson, B. E.; Kolonel, L. N.; Le Marchand, L.",2009,Cancer Epidemiol Biomarkers Prev,18,7,1962-1970,19531680,10.1158/1055-9965.EPI-09-0003,Nested case-control study,11,0,0,0,0,0,11
606,"Plasma carotenoids, tocopherols, retinol and breast cancer risk: results from the Shanghai Women Health Study (SWHS)",Dorjgochoo,"Dorjgochoo, T.; Gao, Y. T.; Chow, W. H.; Shu, X. O.; Li, H.; Yang, G.; Cai, Q.; Rothman, N.; Cai, H.; Franke, A. A.; Zheng, W.; Dai, Q.",2009,Breast Cancer Res Treat,117,2,381-389,19096929,10.1007/s10549-008-0270-4,Nested case-control study,21,0,0,0,0,0,20
607,"Plasma levels of carotenoids, retinol and tocopherol and the risk of gastric cancer in Japan: a nested case-control study",Persson,"Persson, C.; Sasazuki, S.; Inoue, M.; Kurahashi, N.; Iwasaki, M.; Miura, T.; Ye, W.; Tsugane, S.",2008,Carcinogenesis,29,5,1042-1048,18339681,10.1093/carcin/bgn072,Nested case-control study,8,0,0,0,0,0,8
609,"Plasma carotenoids, retinol, and tocopherols and the risk of prostate cancer in the European Prospective Investigation into Cancer and Nutrition study",Key,"Key, T. J.; Appleby, P. N.; Allen, N. E.; Travis, R. C.; Roddam, A. W.; Jenab, M.; Egevad, L.; Tjonneland, A.; Johnsen, N. F.; Overvad, K.; Linseisen, J.; Rohrmann, S.; Boeing, H.; Pischon, T.; Psaltopoulou, T.; Trichopoulou, A.; Trichopoulos, D.; Palli, D.; Vineis, P.; Tumino, R.; Berrino, F.; Kiemeney, L.; Bueno-de-Mesquita, H. B.; Quiros, J. R.; Gonzalez, C. A.; Martinez, C.; Larranaga, N.; Chirlaque, M. D.; Ardanaz, E.; Stattin, P.; Hallmans, G.; Khaw, K. T.; Bingham, S.; Slimani, N.; Ferrari, P.; Rinaldi, S.; Riboli, E.",2007,Am J Clin Nutr,86,3,672-681,17823432,10.1093/ajcn/86.3.672,Nested case-control study,11,0,0,0,0,0,11
610,Prediagnostic level of serum retinol in relation to reduced risk of hepatocellular carcinoma,Yuan,"Yuan, J. M.; Gao, Y. T.; Ong, C. N.; Ross, R. K.; Yu, M. C.",2006,J Natl Cancer Inst,98,7,482-490,16595784,10.1093/jnci/djj104,Nested case-control study,11,0,0,0,0,0,11
611,"Plasma and dietary carotenoid, retinol and tocopherol levels and the risk of gastric adenocarcinomas in the European prospective investigation into cancer and nutrition",Jenab,"Jenab, M.; Riboli, E.; Ferrari, P.; Friesen, M.; Sabate, J.; Norat, T.; Slimani, N.; Tjonneland, A.; Olsen, A.; Overvad, K.; Boutron-Ruault, M. C.; Clavel-Chapelon, F.; Boeing, H.; Schulz, M.; Linseisen, J.; Nagel, G.; Trichopoulou, A.; Naska, A.; Oikonomou, E.; Berrino, F.; Panico, S.; Palli, D.; Sacerdote, C.; Tumino, R.; Peeters, P. H.; Numans, M. E.; Bueno-de-Mesquita, H. B.; Buchner, F. L.; Lund, E.; Pera, G.; Chirlaque, M. D.; Sanchez, M. J.; Arriola, L.; Barricarte, A.; Quiros, J. R.; Johansson, I.; Johansson, A.; Berglund, G.; Bingham, S.; Khaw, K. T.; Allen, N.; Key, T.; Carneiro, F.; Save, V.; Del Giudice, G.; Plebani, M.; Kaaks, R.; Gonzalez, C. A.",2006,Br J Cancer,95,3,406-415,16832408,10.1038/sj.bjc.6603266,Nested case-control study,11,0,0,0,0,0,11
612,Serum alpha-tocopherol and gamma-tocopherol in relation to prostate cancer risk in a prospective study,Weinstein,"Weinstein, S. J.; Wright, M. E.; Pietinen, P.; King, I.; Tan, C.; Taylor, P. R.; Virtamo, J.; Albanes, D.",2005,J Natl Cancer Inst,97,5,396-399,15741576,10.1093/jnci/dji045,Nested case-control study,2,0,0,0,0,0,2
613,"Serum carotenoids, retinol, and tocopherols, and colorectal cancer risk in a Japanese cohort: effect modification by sex for carotenoids",Wakai,"Wakai, K.; Suzuki, K.; Ito, Y.; Kojima, M.; Tamakoshi, K.; Watanabe, Y.; Toyoshima, H.; Hayakawa, N.; Hashimoto, S.; Tokudome, S.; Suzuki, S.; Kawado, M.; Ozasa, K.; Tamakoshi, A.",2005,Nutr Cancer,51,1,13-24,15749625,10.1207/s15327914nc5101_3,Nested case-control study,10,0,0,0,0,0,10
614,"Plasma carotenoids, retinol, and tocopherols and risk of breast cancer",Tamimi,"Tamimi, R. M.; Hankinson, S. E.; Campos, H.; Spiegelman, D.; Zhang, S.; Colditz, G. A.; Willett, W. C.; Hunter, D. J.",2005,Am J Epidemiol,161,2,153-160,15632265,10.1093/aje/kwi030,Nested case-control study,9,0,0,0,0,0,9
615,Antioxidants and basal cell carcinoma of the skin: a nested case-control study,McNaughton,"McNaughton, S. A.; Marks, G. C.; Gaffney, P.; Williams, G.; Green, A. C.",2005,Cancer Causes Control,16,5,609-618,15986117,10.1007/s10552-004-8022-1,Nested case-control study,8,0,0,0,0,0,8
618,"Prediagnostic levels of serum micronutrients in relation to risk of gastric cancer in Shanghai, China",Yuan,"Yuan, J. M.; Ross, R. K.; Gao, Y. T.; Qu, Y. H.; Chu, X. D.; Yu, M. C.",2004,Cancer Epidemiol Biomarkers Prev,13,11 Pt 1,1772-1780,15533906,,Nested case-control study,9,0,0,0,0,0,9
626,Lower prostate cancer risk in men with elevated plasma lycopene levels: results of a prospective analysis,Gann,"Gann, P. H.; Ma, J.; Giovannucci, E.; Willett, W.; Sacks, F. M.; Hennekens, C. H.; Stampfer, M. J.",1999,Cancer Res,59,6,1225-1230,10096552,,Nested case-control study,7,0,0,0,0,0,7
627,Is low selenium status a risk factor for lung cancer?,Knekt,"Knekt, P.; Marniemi, J.; Teppo, L.; Heliovaara, M.; Aromaa, A.",1998,Am J Epidemiol,148,10,975-982,9829869,,Nested case-control study,2,0,0,0,0,0,2
628,"Relationships of serum carotenoids, retinol, alpha-tocopherol, and selenium with breast cancer risk: results from a prospective study in Columbia, Missouri (United States)",Dorgan,"Dorgan, J. F.; Sowell, A.; Swanson, C. A.; Potischman, N.; Miller, R.; Schussler, N.; Stephenson, H. E. Jr",1998,Cancer Causes Control,9,1,89-97,9486468,,Nested case-control study,8,0,0,0,0,0,8
629,Serum micronutrients and upper aerodigestive tract cancer,Nomura,"Nomura, A. M.; Ziegler, R. G.; Stemmermann, G. N.; Chyou, P. H.; Craft, N. E.",1997,Cancer Epidemiol Biomarkers Prev,6,6,407-412,9184773,,Nested case-control study,13,0,0,0,0,0,13
630,Serum micronutrients and prostate cancer in Japanese Americans in Hawaii,Nomura,"Nomura, A. M.; Stemmermann, G. N.; Lee, J.; Craft, N. E.",1997,Cancer Epidemiol Biomarkers Prev,6,7,487-491,9232334,,Nested case-control study,13,0,0,0,0,0,13
631,"Risk of squamous cell carcinoma of the skin in relation to plasma selenium, alpha-tocopherol, beta-carotene, and retinol: a nested case-control study",Karagas,"Karagas, M. R.; Greenberg, E. R.; Nierenberg, D.; Stukel, T. A.; Morris, J. S.; Stevens, M. M.; Baron, J. A.",1997,Cancer Epidemiol Biomarkers Prev,6,1,25-29,8993794,,Nested case-control study,4,0,0,0,0,0,4
