ID,Excretion ID,Subject group,Population,Country,Cohort,No. of subjects,No. of cases,No. of controls,Biospecimen,Analytical method,Biomarker,Biomarker detail,Cancer,Study design,Publication
846,21830,All,Breast cancer cases and their controls,United States,CLUE,590,295,295,"Serum, fasting and non-fasting",HPLC,gamma-Tocopherol,"",Breast cancer,Nested case-control study,Sato 2002
847,21833,All,Breast cancer cases and their controls,United States,CLUE,390,195,195,Serum or Plasma,Competitive protein-binding assay (CPBA),Vitamin B12,"",Breast cancer,Nested case-control study,Wu 1999
848,21832,All,Breast cancer cases and their controls,United States,CLUE,390,195,195,Serum or Plasma,Competitive protein-binding assay (CPBA),Folates,"",Breast cancer,Nested case-control study,Wu 1999
849,21831,All,Breast cancer cases and their controls,United States,CLUE,390,195,195,Serum or Plasma,Tyrosine decarboxylase apoenzyme assay,Pyridoxal 5'-phosphate,"",Breast cancer,Nested case-control study,Wu 1999
850,21834,All,Breast cancer cases and their controls,United States,CLUE,390,195,195,Serum or Plasma,HPLC,Homocysteine,"",Breast cancer,Nested case-control study,Wu 1999
851,21835,All,Lung cancer cases and their controls,United States,CLUE,773,258,515,Serum or Plasma,Colorimetry,Ascorbic acid,"",Lung cancer,Nested case-control study,Comstock 1997
852,21836,All,Lung cancer cases and their controls,United States,CLUE,773,258,515,Serum or Plasma,Neutron activation analysis,Selenium,"",Lung cancer,Nested case-control study,Comstock 1997
853,21837,All,Lung cancer cases and their controls,United States,CLUE,773,258,515,Serum or Plasma,HPLC,alpha-Carotene,"",Lung cancer,Nested case-control study,Comstock 1997
854,21838,All,Lung cancer cases and their controls,United States,CLUE,773,258,515,Serum or Plasma,HPLC,beta-Carotene,"",Lung cancer,Nested case-control study,Comstock 1997
855,21839,All,Lung cancer cases and their controls,United States,CLUE,773,258,515,Serum or Plasma,HPLC,beta-Cryptoxanthin,"",Lung cancer,Nested case-control study,Comstock 1997
856,21840,All,Lung cancer cases and their controls,United States,CLUE,773,258,515,Serum or Plasma,HPLC,Lutein/Zeaxanthin,"",Lung cancer,Nested case-control study,Comstock 1997
857,21842,All,Lung cancer cases and their controls,United States,CLUE,773,258,515,Serum or Plasma,HPLC,alpha-Tocopherol,"",Lung cancer,Nested case-control study,Comstock 1997
858,21841,All,Lung cancer cases and their controls,United States,CLUE,773,258,515,Serum or Plasma,HPLC,Lycopene,"",Lung cancer,Nested case-control study,Comstock 1997
859,21843,All,Prostate cancer cases and their controls,United States,CLUE,972,324,648,Serum or Plasma,HPLC,alpha-Carotene,"",Prostate cancer,Nested case-control study,Huang 2003
860,21844,All,Prostate cancer cases and their controls,United States,CLUE,972,324,648,Serum or Plasma,HPLC,beta-Carotene,"",Prostate cancer,Nested case-control study,Huang 2003
861,21845,All,Prostate cancer cases and their controls,United States,CLUE,972,324,648,Serum or Plasma,HPLC,Carotenes,alpha-Carotene + beta-Carotene,Prostate cancer,Nested case-control study,Huang 2003
862,21846,All,Prostate cancer cases and their controls,United States,CLUE,972,324,648,Serum or Plasma,HPLC,beta-Cryptoxanthin,"",Prostate cancer,Nested case-control study,Huang 2003
863,21847,All,Prostate cancer cases and their controls,United States,CLUE,972,324,648,Serum or Plasma,HPLC,Lutein,"",Prostate cancer,Nested case-control study,Huang 2003
864,21848,All,Prostate cancer cases and their controls,United States,CLUE,972,324,648,Serum or Plasma,HPLC,Lycopene,"",Prostate cancer,Nested case-control study,Huang 2003
865,21849,All,Prostate cancer cases and their controls,United States,CLUE,972,324,648,Serum or Plasma,HPLC,Retinol,"",Prostate cancer,Nested case-control study,Huang 2003
866,21850,All,Prostate cancer cases and their controls,United States,CLUE,972,324,648,Serum or Plasma,HPLC,Retinyl palmitate,"",Prostate cancer,Nested case-control study,Huang 2003
867,21851,All,Prostate cancer cases and their controls,United States,CLUE,972,324,648,Serum or Plasma,HPLC,alpha-Tocopherol,"",Prostate cancer,Nested case-control study,Huang 2003
868,21852,All,Prostate cancer cases and their controls,United States,CLUE,972,324,648,Serum or Plasma,HPLC,gamma-Tocopherol,"",Prostate cancer,Nested case-control study,Huang 2003
869,21853,All,Prostate cancer cases and their controls,United States,CLUE,972,324,648,Serum or Plasma,Colorimetry,Ascorbic acid,"",Prostate cancer,Nested case-control study,Huang 2003
870,21854,All,Gastric cancer cases and their controls,Norway,EPIC (European Prospective Investigation into Cancer and Nutrition),836,235,601,"Plasma, fasting and non-fasting",LC-MS/MS,4-Pyridoxic acid,"",Gastric and oesophageal cancer,Nested case-control study,Eussen 2010
871,21855,All,Colorectal cancer cases and their controls,Norway,EPIC (European Prospective Investigation into Cancer and Nutrition),3684,1365,2319,"Plasma, fasting and non-fasting",LC-MS/MS,Riboflavin,"",Colon and rectal cancer,Nested case-control study,Eussen 2010
872,21856,All,Colorectal cancer cases and their controls,Norway,EPIC (European Prospective Investigation into Cancer and Nutrition),3684,1365,2319,"Plasma, fasting and non-fasting",LC-MS/MS,Vitamin B6,4-Pyridoxic acid + Pyridoxal 5'-phosphate + Pyridoxal,Colon and rectal cancer,Nested case-control study,Eussen 2010
873,21857,All,Colorectal cancer cases and their controls,Norway,EPIC (European Prospective Investigation into Cancer and Nutrition),3684,1365,2319,"Plasma, fasting and non-fasting",LC-MS/MS,Pyridoxal 5'-phosphate,"",Colon and rectal cancer,Nested case-control study,Eussen 2010
874,21858,All,Colorectal cancer cases and their controls,Norway,EPIC (European Prospective Investigation into Cancer and Nutrition),3684,1365,2319,"Plasma, fasting and non-fasting",LC-MS/MS,4-Pyridoxic acid,"",Colon and rectal cancer,Nested case-control study,Eussen 2010
875,21859,All,Colorectal cancer cases and their controls,Norway,EPIC (European Prospective Investigation into Cancer and Nutrition),3684,1365,2319,"Plasma, fasting and non-fasting",Microbioassay (Lactobacillus leichmanii),Vitamin B12,"",Colon and rectal cancer,Nested case-control study,Eussen 2010
876,21860,All,Head and neck cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),700,350,350,"Plasma, fasting and non-fasting",LC-MS/MS,Riboflavin,"",Head and neck cancer,Nested case-control study,Fanidi 2015
877,21870,All,Oesophageal cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),332,166,166,"Plasma, fasting and non-fasting",LC-MS/MS,Riboflavin,"",Gastric and oesophageal cancer,Nested case-control study,Fanidi 2015
878,21861,All,Head and neck cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),700,350,350,"Plasma, fasting and non-fasting",LC-MS/MS,Pyridoxal 5'-phosphate,"",Head and neck cancer,Nested case-control study,Fanidi 2015
879,21871,All,Oesophageal cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),332,166,166,"Plasma, fasting and non-fasting",LC-MS/MS,Pyridoxal 5'-phosphate,"",Gastric and oesophageal cancer,Nested case-control study,Fanidi 2015
880,21862,All,Head and neck cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),700,350,350,"Plasma, fasting and non-fasting",Microbioassay (Lactobacillus casei),Folates,"",Head and neck cancer,Nested case-control study,Fanidi 2015
881,21872,All,Oesophageal cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),332,166,166,"Plasma, fasting and non-fasting",Microbioassay (Lactobacillus casei),Folates,"",Gastric and oesophageal cancer,Nested case-control study,Fanidi 2015
882,21863,All,Head and neck cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),700,350,350,"Plasma, fasting and non-fasting",Microbioassay (Lactobacillus leichmanii),Vitamin B12,"",Head and neck cancer,Nested case-control study,Fanidi 2015
883,21873,All,Oesophageal cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),332,166,166,"Plasma, fasting and non-fasting",Microbioassay (Lactobacillus leichmanii),Vitamin B12,"",Gastric and oesophageal cancer,Nested case-control study,Fanidi 2015
884,21864,All,Head and neck cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),700,350,350,"Plasma, fasting and non-fasting",GC-MS,Homocysteine,"",Head and neck cancer,Nested case-control study,Fanidi 2015
885,21874,All,Oesophageal cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),332,166,166,"Plasma, fasting and non-fasting",GC-MS,Homocysteine,"",Gastric and oesophageal cancer,Nested case-control study,Fanidi 2015
886,21866,All,Upper gastrointestinal tract cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",554,228,326,"Serum, fasting",Competitive protein-binding assay (CPBA),Vitamin B12,"",Gastric and oesophageal cancer,Nested case-control study,Miranti 2017
887,21865,All,Upper gastrointestinal tract cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",554,228,326,"Serum, fasting",Competitive protein-binding assay (CPBA),Folates,"",Gastric and oesophageal cancer,Nested case-control study,Miranti 2017
888,21867,All,Upper gastrointestinal tract cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",554,228,326,"Serum, fasting",Tyrosine decarboxylase apoenzyme assay,Pyridoxal 5'-phosphate,"",Gastric and oesophageal cancer,Nested case-control study,Miranti 2017
889,21868,All,Upper gastrointestinal tract cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",554,228,326,"Serum, fasting",HPLC,Riboflavin,"",Gastric and oesophageal cancer,Nested case-control study,Miranti 2017
890,21869,All,Upper gastrointestinal tract cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",554,228,326,"Serum, fasting",HPLC,Homocysteine,"",Gastric and oesophageal cancer,Nested case-control study,Miranti 2017
891,21875,All,Lung cancer cases,Denmark,Copenhagen City Heart Study,9791,507,,"Plasma, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Lung cancer,Prospective cohort study,Afzal 2013
892,21876,All,Head and neck cancer cases,Denmark,Copenhagen City Heart Study,9791,122,,"Plasma, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Head and neck cancer,Prospective cohort study,Afzal 2013
893,21881,All,Bladder cancer cases,Denmark,Copenhagen City Heart Study,9791,112,,"Plasma, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Bladder cancer,Prospective cohort study,Afzal 2013
894,21877,All,Kidney cancer cases,Denmark,Copenhagen City Heart Study,9791,55,,"Plasma, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Kidney cancer,Prospective cohort study,Afzal 2013
895,21880,All,Pancreatic cancer cases,Denmark,Copenhagen City Heart Study,9791,109,,"Plasma, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Pancreatic cancer,Prospective cohort study,Afzal 2013
896,21879,All,Stomach cancer cases,Denmark,Copenhagen City Heart Study,9791,64,,"Plasma, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Gastric and oesophageal cancer,Prospective cohort study,Afzal 2013
897,21878,All,Liver cancer cases,Denmark,Copenhagen City Heart Study,9791,55,,"Plasma, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Liver cancer,Prospective cohort study,Afzal 2013
898,21882,All,Prostate cancer cases,Australia,HIMS (Health in Men Study),4208,315,,"Plasma, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Prostate cancer,Prospective cohort study,Wong 2014
899,21883,All,Colorectal cancer cases,Australia,HIMS (Health in Men Study),4208,117,,"Plasma, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Prospective cohort study,Wong 2014
900,21884,All,Lung cancer cases,Australia,HIMS (Health in Men Study),4208,101,,"Plasma, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Lung cancer,Prospective cohort study,Wong 2014
909,21893,All,Pancreatic cancer cases and their controls,China,Combined cohorts,549,187,362,"Serum, non-fasting",LC-MS/MS,Pyridoxal 5'-phosphate,"",Pancreatic cancer,Nested case-control study,Huang 2016
910,21894,All,Pancreatic cancer cases and their controls,China,Combined cohorts,549,187,362,"Serum, non-fasting",LC-MS/MS,4-Pyridoxic acid,"",Pancreatic cancer,Nested case-control study,Huang 2016
911,21895,All,Renal cell carcinoma cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),1112,556,556,"Plasma, fasting and non-fasting",LC-MS/MS,Riboflavin,"",Kidney cancer,Nested case-control study,Johansson 2014
912,21896,All,Renal cell carcinoma cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),1112,556,556,"Plasma, fasting and non-fasting",LC-MS/MS,Pyridoxal 5'-phosphate,"",Kidney cancer,Nested case-control study,Johansson 2014
913,21897,All,Renal cell carcinoma cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),1112,556,556,"Plasma, fasting and non-fasting",Microbioassay (Lactobacillus casei),Folates,"",Kidney cancer,Nested case-control study,Johansson 2014
914,21898,All,Renal cell carcinoma cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),1112,556,556,"Plasma, fasting and non-fasting",Microbioassay (Lactobacillus leichmanii),Vitamin B12,"",Kidney cancer,Nested case-control study,Johansson 2014
915,21899,All,Renal cell carcinoma cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),1112,556,556,"Plasma, fasting and non-fasting",GC-MS,Homocysteine,"",Kidney cancer,Nested case-control study,Johansson 2014
921,21905,All,Colorectal cancer cases and their controls,United States,Combined cohorts,1732,602,1130,"Plasma, fasting and non-fasting",Competitive protein-binding assay (CPBA),Folates,"",Colon and rectal cancer,Nested case-control study,Lee 2012
922,21906,All,Non-melanoma skin cancer cases and their controls,United States,NHS (Nurses' Health Study),4641,585,4056,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Skin cancer,Nested case-control study,Liang 2012
923,21907,All,Prostate cancer cases and their controls,United Kingdom,Combined cohorts,14979,6875,8104,Serum or Plasma,Microbioassay (Lactobacillus casei),Folates,"",Prostate cancer,Nested case-control study,Price 2016
924,21908,All,Prostate cancer cases and their controls,United Kingdom,Combined cohorts,14979,6875,8104,Serum or Plasma,Microbioassay (Lactobacillus leichmanii),Vitamin B12,"",Prostate cancer,Nested case-control study,Price 2016
925,21909,All,Breast cancer cases and their controls,United States,Combined cohorts,4525,1585,2940,Serum or Plasma,Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Scarmo 2013
926,21910,All,Pancreatic cancer cases and their controls,United States,Combined cohorts,831,208,623,"Plasma, fasting and non-fasting",Enzyme immunoassay (EIA),Folates,"",Pancreatic cancer,Nested case-control study,Schernhammer 2007
927,21912,All,Pancreatic cancer cases and their controls,United States,Combined cohorts,831,208,623,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),Pyridoxal 5'-phosphate,"",Pancreatic cancer,Nested case-control study,Schernhammer 2007
928,21911,All,Pancreatic cancer cases and their controls,United States,Combined cohorts,831,208,623,"Plasma, fasting and non-fasting",Enzyme immunoassay (EIA),Vitamin B12,"",Pancreatic cancer,Nested case-control study,Schernhammer 2007
929,21913,All,Pancreatic cancer cases and their controls,United States,Combined cohorts,831,208,623,"Plasma, fasting and non-fasting",Enzyme immunoassay (EIA),Homocysteine,"",Pancreatic cancer,Nested case-control study,Schernhammer 2007
930,21914,All,Head and neck cancer cases,Denmark,Combined cohorts,11130,38,,"Serum, unspecified",HPLC,25-Hydroxycholecalciferol,"",Head and neck cancer,Prospective cohort study,Skaaby 2014
931,21915,All,Colorectal cancer cases,Denmark,Combined cohorts,11119,141,,"Serum, unspecified",HPLC,25-Hydroxycholecalciferol,"",Colon and rectal cancer,Prospective cohort study,Skaaby 2014
932,21916,All,Bronchus and lung cancer cases,Denmark,Combined cohorts,11133,110,,"Serum, unspecified",HPLC,25-Hydroxycholecalciferol,"",Lung cancer,Prospective cohort study,Skaaby 2014
933,21917,All,Breast cancer cases,Denmark,Combined cohorts,5606,159,,"Serum, unspecified",HPLC,25-Hydroxycholecalciferol,"",Breast cancer,Prospective cohort study,Skaaby 2014
934,21918,All,Uterine (corpus uteri) cancer cases,Denmark,Combined cohorts,5670,25,,"Serum, unspecified",HPLC,25-Hydroxycholecalciferol,"",Endometrial cancer,Prospective cohort study,Skaaby 2014
935,21919,All,Prostate cancer cases,Denmark,Combined cohorts,5451,121,,"Serum, unspecified",HPLC,25-Hydroxycholecalciferol,"",Prostate cancer,Prospective cohort study,Skaaby 2014
936,21920,All,Urinary organs cancer cases,Denmark,Combined cohorts,11124,46,,"Serum, unspecified",HPLC,25-Hydroxycholecalciferol,"",Bladder cancer,Prospective cohort study,Skaaby 2014
937,21921,All,Non-melanoma skin cancer and malignant melanoma cases,Denmark,Combined cohorts,11036,424,,"Serum, unspecified",HPLC,25-Hydroxycholecalciferol,"",Skin cancer,Prospective cohort study,Skaaby 2014
938,21922,All,Colorectal cancer cases and their controls,United States,NHS (Nurses' Health Study) with HPFS (Health Professionals Follow-Up Study),1824,615,1209,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Song 2014
939,21923,All,Prostate cancer cases and their controls,Finland,Combined cohorts,2073,622,1451,"Serum, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Tuohimaa 2004
940,21924,All,Ovarian cancer cases and their controls,United States,Combined cohorts,827,224,603,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Ovarian cancer,Nested case-control study,Tworoger 2007
941,21925,All,Ovarian cancer cases and their controls,United States,Combined cohorts,827,224,603,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),"1,25-Dihydroxycholecalciferol","",Ovarian cancer,Nested case-control study,Tworoger 2007
942,21926,All,Pancreatic cancer cases and their controls,United States,Combined cohorts,1618,451,1167,"Plasma, fasting and non-fasting",Enzyme immunoassay (EIA),25-Hydroxycholecalciferol,"",Pancreatic cancer,Nested case-control study,Wolpin 2012
944,21928,All,Colorectal cancer cases and their controls,United States,NHS (Nurses' Health Study) with HPFS (Health Professionals Follow-Up Study),1111,372,739,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Wu 2007
948,21932,All,Gastric dysplasia and cancer cases,China,Linqu County Cohort,434,62,,"Serum, fasting",HPLC,Ascorbic acid,"",Gastric and oesophageal cancer,Prospective cohort study,You 2000
949,21933,All,Gastric dysplasia and cancer cases,China,Linqu County Cohort,434,62,,"Serum, fasting",HPLC,Retinol,"",Gastric and oesophageal cancer,Prospective cohort study,You 2000
950,21934,All,Gastric dysplasia and cancer cases,China,Linqu County Cohort,434,62,,"Serum, fasting",HPLC,beta-Carotene,"",Gastric and oesophageal cancer,Prospective cohort study,You 2000
951,21935,All,Gastric dysplasia and cancer cases,China,Linqu County Cohort,434,62,,"Serum, fasting",HPLC,alpha-Tocopherol,"",Gastric and oesophageal cancer,Prospective cohort study,You 2000
952,21936,All,Gastric dysplasia and cancer cases,China,Linqu County Cohort,434,62,,"Serum, fasting",Neutron activation analysis,Selenium,"",Gastric and oesophageal cancer,Prospective cohort study,You 2000
953,21937,All,Breast cancer cases and their controls,United States,WHS (Women’s Health Study),1624,812,812,"Plasma, fasting and non-fasting",HPLC,Homocysteine,"",Breast cancer,Nested case-control study,Lin 2010
955,21940,All,Breast cancer cases and their controls,United States,Combined cohorts,7011,3055,3956,Serum or Plasma,HPLC,alpha-Carotene,"",Breast cancer,Nested case-control study,Eliassen 2012
956,21941,All,Breast cancer cases and their controls,United States,Combined cohorts,7011,3055,3956,Serum or Plasma,HPLC,beta-Carotene,"",Breast cancer,Nested case-control study,Eliassen 2012
957,21942,All,Breast cancer cases and their controls,United States,Combined cohorts,7011,3055,3956,Serum or Plasma,HPLC,beta-Cryptoxanthin,"",Breast cancer,Nested case-control study,Eliassen 2012
958,21943,All,Breast cancer cases and their controls,United States,Combined cohorts,7011,3055,3956,Serum or Plasma,HPLC,Lutein/Zeaxanthin,"",Breast cancer,Nested case-control study,Eliassen 2012
960,21944,All,Breast cancer cases and their controls,United States,Combined cohorts,7011,3055,3956,Serum or Plasma,HPLC,Lycopene,"",Breast cancer,Nested case-control study,Eliassen 2012
961,21939,All,Breast cancer cases and their controls,United States,Combined cohorts,7011,3055,3956,Serum or Plasma,HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,Breast cancer,Nested case-control study,Eliassen 2012
962,21945,All,Lung cancer cases and their controls,United States,Kaiser Permanente Northern California (KPNC),453,151,302,"Serum, unspecified",HPLC,Retinol,"",Lung cancer,Nested case-control study,Friedman 1986
963,21946,All,Prostate cancer cases,Finland,KIHD (Kuopio Ischaemic Heart Disease Risk Factor),997,55,,"Serum, fasting",HPLC,Lycopene,"",Prostate cancer,Prospective cohort study,Karppi 2009
964,21947,All,Prostate cancer cases,Finland,KIHD (Kuopio Ischaemic Heart Disease Risk Factor),997,55,,"Serum, fasting",HPLC,Retinol,"",Prostate cancer,Prospective cohort study,Karppi 2009
965,21948,All,Prostate cancer cases,Finland,KIHD (Kuopio Ischaemic Heart Disease Risk Factor),997,55,,"Serum, fasting",HPLC,alpha-Tocopherol,"",Prostate cancer,Prospective cohort study,Karppi 2009
966,21949,All,Prostate cancer cases,Finland,KIHD (Kuopio Ischaemic Heart Disease Risk Factor),997,55,,"Serum, fasting",HPLC,alpha-Carotene,"",Prostate cancer,Prospective cohort study,Karppi 2009
967,21950,All,Prostate cancer cases,Finland,KIHD (Kuopio Ischaemic Heart Disease Risk Factor),997,55,,"Serum, fasting",HPLC,beta-Carotene,"",Prostate cancer,Prospective cohort study,Karppi 2009
968,21951,All,Gastrointestinal cancer cases and their controls,Finland,Finnish Mobile Clinic Surveys,426,150,276,"Serum, unspecified",Atomic absorption spectrometry (AAS),Selenium,"",Gastric and oesophageal cancer,Nested case-control study,Knekt 1988
969,21952,All,Gastrointestinal cancer cases and their controls,Finland,Finnish Mobile Clinic Surveys,426,150,276,"Serum, unspecified",HPLC,alpha-Tocopherol,"",Gastric and oesophageal cancer,Nested case-control study,Knekt 1988
972,21953,All,Colorectal cancer cases and their controls,United States,NHS (Nurses' Health Study) with HPFS (Health Professionals Follow-Up Study),942,318,624,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Song 2016
974,21955,All,Breast cancer cases and their controls,Guernsey,ICRF prospective study in Guernsey,117,39,78,"Plasma, unspecified",HPLC,Retinol,"",Breast cancer,Nested case-control study,Wald 1984
975,21956,All,Breast cancer cases and their controls,Guernsey,ICRF prospective study in Guernsey,117,39,78,"Plasma, unspecified",HPLC,beta-Carotene,"",Breast cancer,Nested case-control study,Wald 1984
976,21957,All,Breast cancer cases and their controls,Guernsey,ICRF prospective study in Guernsey,117,39,78,"Plasma, unspecified",HPLC,alpha-Tocopherol,"",Breast cancer,Nested case-control study,Wald 1984
977,21958,All,Lung cancer cases and their controls,China,SCS (Shanghai Cohort Study),831,209,622,"Serum, non-fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,Lung cancer,Nested case-control study,Yuan 2001
978,21959,All,Lung cancer cases and their controls,China,SCS (Shanghai Cohort Study),831,209,622,"Serum, non-fasting",HPLC,alpha-Carotene,"",Lung cancer,Nested case-control study,Yuan 2001
979,21960,All,Lung cancer cases and their controls,China,SCS (Shanghai Cohort Study),831,209,622,"Serum, non-fasting",HPLC,beta-Carotene,"",Lung cancer,Nested case-control study,Yuan 2001
980,21961,All,Lung cancer cases and their controls,China,SCS (Shanghai Cohort Study),831,209,622,"Serum, non-fasting",HPLC,beta-Cryptoxanthin,"",Lung cancer,Nested case-control study,Yuan 2001
981,21962,All,Lung cancer cases and their controls,China,SCS (Shanghai Cohort Study),831,209,622,"Serum, non-fasting",HPLC,Lycopene,"",Lung cancer,Nested case-control study,Yuan 2001
982,21963,All,Lung cancer cases and their controls,China,SCS (Shanghai Cohort Study),831,209,622,"Serum, non-fasting",HPLC,Lutein/Zeaxanthin,"",Lung cancer,Nested case-control study,Yuan 2001
983,21964,All,Lung cancer cases and their controls,China,SCS (Shanghai Cohort Study),831,209,622,"Serum, non-fasting",HPLC,Retinol,"",Lung cancer,Nested case-control study,Yuan 2001
984,21965,All,Lung cancer cases and their controls,China,SCS (Shanghai Cohort Study),831,209,622,"Serum, non-fasting",HPLC,Tocopherols,alpha-Tocopherol + gamma-Tocopherol,Lung cancer,Nested case-control study,Yuan 2001
985,21966,All,Lung cancer cases and their controls,China,SCS (Shanghai Cohort Study),831,209,622,"Serum, non-fasting",HPLC,alpha-Tocopherol,"",Lung cancer,Nested case-control study,Yuan 2001
986,21967,All,Lung cancer cases and their controls,China,SCS (Shanghai Cohort Study),831,209,622,"Serum, non-fasting",HPLC,gamma-Tocopherol,"",Lung cancer,Nested case-control study,Yuan 2001
987,21968,All,Prostate cancer cases,United States,SELECT (Selenium and Vitamin E Cancer Prevention Trial),2198,834,1364,"Plasma, unspecified",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",Prostate cancer,Case-cohort study,Brasky 2013
988,21969,All,Prostate cancer cases,United States,SELECT (Selenium and Vitamin E Cancer Prevention Trial),2198,834,1364,"Plasma, unspecified",GC-FID,EPA (cis-20:5n-3),"",Prostate cancer,Case-cohort study,Brasky 2013
989,21970,All,Prostate cancer cases,United States,SELECT (Selenium and Vitamin E Cancer Prevention Trial),2198,834,1364,"Plasma, unspecified",GC-FID,DPA (cis-22:5n-3),"",Prostate cancer,Case-cohort study,Brasky 2013
990,21971,All,Prostate cancer cases,United States,SELECT (Selenium and Vitamin E Cancer Prevention Trial),2198,834,1364,"Plasma, unspecified",GC-FID,DHA (cis-22:6n-3),"",Prostate cancer,Case-cohort study,Brasky 2013
991,21972,All,Prostate cancer cases,United States,SELECT (Selenium and Vitamin E Cancer Prevention Trial),2198,834,1364,"Plasma, unspecified",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",Prostate cancer,Case-cohort study,Brasky 2013
992,21973,All,Prostate cancer cases,United States,SELECT (Selenium and Vitamin E Cancer Prevention Trial),2198,834,1364,"Plasma, unspecified",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",Prostate cancer,Case-cohort study,Brasky 2013
993,21974,All,Prostate cancer cases,United States,SELECT (Selenium and Vitamin E Cancer Prevention Trial),2198,834,1364,"Plasma, unspecified",GC-FID,trans-Octadecenoic acids (trans-18:1),"",Prostate cancer,Case-cohort study,Brasky 2013
994,21975,All,Prostate cancer cases,United States,SELECT (Selenium and Vitamin E Cancer Prevention Trial),2198,834,1364,"Plasma, unspecified",GC-FID,trans-Octadecadienoic acids (trans-18:2),"",Prostate cancer,Case-cohort study,Brasky 2013
995,21976,All,Prostate cancer cases,United States,SELECT (Selenium and Vitamin E Cancer Prevention Trial),2198,834,1364,"Plasma, unspecified",GC-FID,trans-Hexadecenoic acids (trans-16:1),"",Prostate cancer,Case-cohort study,Brasky 2013
996,21977,All,Breast cancer cases and their controls,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),699,233,466,"Plasma, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Deschasaux 2016
