ID,Excretion ID,Subject group,Population,Country,Cohort,Biomarker Time definition,Biospecimen,Analytical method,Biomarker,Biomarker detail,Arithmetic mean,Geometric mean,Median,Unit,Adjusted on,Reproducibility size,ICC,ICC 95% CI lower,ICC 95% CI upper,CV% WS,CV% BS,VAR WS,VAR BS,Publication
304,18652,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Genistein,"",,,0.11,nmol/mg,Creatinine,45,0.02,0.0,1.0,100.0,0.0,,,Kotsopoulos 2010
305,18653,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Equol,"",,,0.04,nmol/mg,Creatinine,45,0.09,0.0,0.77,8.9,3.0,,,Kotsopoulos 2010
306,18654,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Enterolactone,"",,,1.44,nmol/mg,Creatinine,45,0.52,0.31,0.72,95.3,100.0,,,Kotsopoulos 2010
307,18656,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 1 year; 2 years,"Plasma, unspecified",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",,,33.3,ng/mL,,71,0.72,0.62,0.8,18.4,29.6,,,Kotsopoulos 2010
308,18658,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 1 year; 2 years,"Plasma, unspecified",Radioimmunoassay (RIA),"1,25-Dihydroxycholecalciferol","",,,35.7,pg/mL,,71,0.56,0.43,0.68,20.7,23.5,,,Kotsopoulos 2010
309,18659,All,Americans of european and african descent in the southeastern US,United States,SCCS (Southern Community Cohort Study),baseline; 1.7 years,"Serum, non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",,,,ng/mL,,238,0.88,0.85,0.91,,,,,Sonderman 2012
310,18665,African American,Americans of european and african descent in the southeastern US,United States,SCCS (Southern Community Cohort Study),baseline; 1.7 years,"Serum, non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",,,,ng/mL,,155,0.84,0.79,0.88,,,,,Sonderman 2012
311,18666,European American,Americans of european and african descent in the southeastern US,United States,SCCS (Southern Community Cohort Study),baseline; 1.7 years,"Serum, non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",,,,ng/mL,,70,0.97,0.96,0.98,,,,,Sonderman 2012
312,18670,All,Women in Washington DC,United States,,baseline; 1 day,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Monobenzyl phthalate (MBzP),"",26.5,,21.6,ug/g,Creatinine,46,0.53,0.31,0.69,,,,,Hoppin 2002
313,18671,All,Women in Washington DC,United States,,baseline; 1 day,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Mono-n-butyl phthalate (MnBP),"",52.7,,43.4,ug/g,Creatinine,46,0.8,0.69,0.88,,,,,Hoppin 2002
314,18672,All,Women in Washington DC,United States,,baseline; 1 day,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Monoethyl phthalate (MEP),"",183.0,,134.8,ug/g,Creatinine,35,0.6,0.36,0.76,,,,,Hoppin 2002
315,18673,All,Women in Washington DC,United States,,baseline; 1 day,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Mono(2-ethylhexyl) phthalate (MEHP),"",12.3,,6.4,ug/g,Creatinine,46,0.67,0.49,0.79,,,,,Hoppin 2002
316,18675,All,Students of Helsinki University,Finland,,baseline; 1 week; 2 weeks; 3 weeks,"Urine, 24-h",Time-resolved fluoroimmunoassay (TR-FIA) after enzymatic hydrolysis,Enterolactone,"",,,,nmol/day,,19,0.8,0.67,0.91,,,,,Stumpf 2003
317,18676,All,Students of Helsinki University,Finland,,baseline; 1 day; 2 days; 3 days; 4 days,"Urine, 24-h",Time-resolved fluoroimmunoassay (TR-FIA) after enzymatic hydrolysis,Enterolactone,"",,,,nmol/day,,19,0.79,0.64,0.9,,,,,Stumpf 2003
318,18678,All,Students of Helsinki University,Finland,,baseline; 1 week; 2 weeks; 3 weeks,"Urine, spot",Time-resolved fluoroimmunoassay (TR-FIA) after enzymatic hydrolysis,Enterolactone,"",,,,umol/mol,Creatinine,18,0.72,0.55,0.86,,,,,Stumpf 2003
319,18679,All,Students of Helsinki University,Finland,,baseline; 1 day; 2 days; 3 days; 4 days,"Urine, spot",Time-resolved fluoroimmunoassay (TR-FIA) after enzymatic hydrolysis,Enterolactone,"",,,,umol/mol,Creatinine,18,0.67,0.46,0.84,,,,,Stumpf 2003
320,18681,All,Students of Helsinki University,Finland,,baseline; 1 week; 2 weeks; 3 weeks,"Serum, fasting",Time-resolved fluoroimmunoassay (TR-FIA) after enzymatic hydrolysis,Enterolactone,"",,,,nmol/L,,19,0.79,0.65,0.9,,,,,Stumpf 2003
321,18682,All,Students of Helsinki University,Finland,,baseline; 1 day; 2 days; 3 days; 4 days,"Serum, fasting",Time-resolved fluoroimmunoassay (TR-FIA) after enzymatic hydrolysis,Enterolactone,"",,,,nmol/L,,19,0.77,0.61,0.89,,,,,Stumpf 2003
322,6626,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,"Fatty acids, saturated (SFA)",Palmitic acid (16:0) + Stearic acid (18:0),47.6,,,percentRoot,,87,0.63,,,,,,,Kobayashi 2001
323,6627,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,Palmitic acid (16:0),"",28.7,,,percentRoot,,87,0.54,,,,,,,Kobayashi 2001
324,6628,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,Stearic acid (18:0),"",15.1,,,percentRoot,,87,0.8,,,,,,,Kobayashi 2001
325,6629,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,"Fatty acids, monounsaturated (MUFA)",Oleic acid (cis-18:1n-9),13.6,,,percentRoot,,87,0.71,,,,,,,Kobayashi 2001
326,6630,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,Oleic acid (cis-18:1n-9),"",8.8,,,percentRoot,,87,0.67,,,,,,,Kobayashi 2001
327,6631,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,"Fatty acids, polyunsaturated (PUFA)",alpha-Linolenic acid (ALA; cis-18:3n-3) + EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3) + Linoleic acid (LA; cis-18:2n-6) + Arachidonic acid (AA; cis-20:4n-6),38.9,,,percentRoot,,87,0.46,,,,,,,Kobayashi 2001
328,6632,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,"Fatty acids, n3-polyunsaturated (n3-PUFA)",alpha-Linolenic acid (ALA; cis-18:3n-3) + EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),12.4,,,percentRoot,,87,0.76,,,,,,,Kobayashi 2001
329,6633,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",0.2,,,percentRoot,,87,0.61,,,,,,,Kobayashi 2001
330,6634,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,EPA (cis-20:5n-3),"",3.7,,,percentRoot,,87,0.68,,,,,,,Kobayashi 2001
331,6635,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,DPA (cis-22:5n-3),"",1.2,,,percentRoot,,87,0.83,,,,,,,Kobayashi 2001
332,6636,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,DHA (cis-22:6n-3),"",7.3,,,percentRoot,,87,0.77,,,,,,,Kobayashi 2001
333,6637,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,"Fatty acids, n6-polyunsaturated (n6-PUFA)",Linoleic acid (LA; cis-18:2n-6) + Arachidonic acid (AA; cis-20:4n-6),26.5,,,percentRoot,,87,0.72,,,,,,,Kobayashi 2001
334,6638,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",17.3,,,percentRoot,,87,0.73,,,,,,,Kobayashi 2001
335,6639,All,Middle-aged men,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),winter; summer,"Serum, fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",6.4,,,percentRoot,,87,0.7,,,,,,,Kobayashi 2001
338,18683,All,Postmenopausal women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Serum, unspecified",HPLC,Taurine,"",140.0,,138.0,nmol/mL,,30,0.48,0.26,0.68,,,,,Wojcik 2010
339,18684,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Monoethyl phthalate (MEP),"",,176.4,149.5,ug/g,Creatinine,35,0.26,,,,,0.7,0.25,Teitelbaum 2008
340,18685,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP),"",,84.8,76.4,ug/g,Creatinine,35,0.24,,,,,0.79,0.25,Teitelbaum 2008
341,18686,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Mono(2-ethyl-5-oxohexyl) phthalate (MEOHP),"",,53.9,50.9,ug/g,Creatinine,35,0.23,,,,,0.77,0.23,Teitelbaum 2008
342,18687,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Mono(2-ethylhexyl) phthalate (MEHP),"",,11.3,11.7,ug/g,Creatinine,35,0.29,,,,,0.93,0.38,Teitelbaum 2008
343,18688,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,DEHP metabolites,Mono(2-ethylhexyl) phthalate (MEHP) + Mono(2-ethyl-5-oxohexyl) phthalate (MEOHP) + Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP),,521.0,481.2,ug/g,Creatinine,35,0.23,,,,,0.78,0.24,Teitelbaum 2008
344,18689,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Mono-n-butyl phthalate (MnBP),"",,52.0,52.6,ug/g,Creatinine,35,0.35,,,,,0.35,0.19,Teitelbaum 2008
345,18690,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Monobenzyl phthalate (MBzP),"",,40.3,36.6,ug/g,Creatinine,35,0.62,,,,,0.42,0.69,Teitelbaum 2008
346,18691,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Mono-isobutyl phthalate (MiBP),"",,16.5,15.6,ug/g,Creatinine,35,0.28,,,,,0.34,0.14,Teitelbaum 2008
347,18692,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Mono(3-carboxypropyl) phthalate (MCPP),"",,6.3,6.1,ug/g,Creatinine,35,0.21,,,,,0.88,0.23,Teitelbaum 2008
348,18693,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Enterolactone,"",,314.2,366.2,ug/g,Creatinine,35,0.42,,,,,0.63,0.45,Teitelbaum 2008
349,18694,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Enterodiol,"",,26.7,28.8,ug/g,Creatinine,35,0.22,,,,,0.98,0.28,Teitelbaum 2008
350,18695,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Genistein,"",,32.3,23.2,ug/g,Creatinine,35,0.33,,,,,1.43,0.7,Teitelbaum 2008
351,18696,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Daidzein,"",,61.1,46.5,ug/g,Creatinine,35,0.17,,,,,1.86,0.39,Teitelbaum 2008
352,18697,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Equol,"",,13.5,14.7,ug/g,Creatinine,35,0.23,,,,,0.79,0.23,Teitelbaum 2008
353,18698,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,O-Desmethylangolensin,"",,2.4,2.0,ug/g,Creatinine,35,0.4,,,,,2.42,1.59,Teitelbaum 2008
354,18699,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Isoflavones,Daidzein + Equol + O-Desmethylangolensin,,393.2,327.3,ug/g,Creatinine,35,0.15,,,,,1.38,0.24,Teitelbaum 2008
355,18700,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,"2,5-Dichlorophenol (2,5-DCP)","",,79.2,53.0,ug/g,Creatinine,35,0.4,,,,,1.3,0.87,Teitelbaum 2008
356,18701,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Triclosan (TCS),"",,13.4,9.3,ug/g,Creatinine,35,0.39,,,,,2.39,1.5,Teitelbaum 2008
357,18702,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Benzophenone-3 (BP-3),"",,10.9,10.6,ug/g,Creatinine,35,0.46,,,,,1.6,1.38,Teitelbaum 2008
358,18703,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,Bisphenol A (BPA),"",,3.4,3.5,ug/g,Creatinine,35,0.35,,,,,0.65,0.35,Teitelbaum 2008
359,18704,All,Minority children,United States,,"baseline; 2 weeks; 1 month; 2 months, 3 months; 6 months","Urine, spot",LC-MS/MS after enzymatic hydrolysis,"2,4-Dichlorophenol (2,4-DCP)","",,2.7,2.2,ug/g,Creatinine,35,0.36,,,,,0.98,0.55,Teitelbaum 2008
371,18706,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, 24-h",LC-MS/MS after enzymatic hydrolysis,Bisphenol A (BPA),"",,0.93,1.48,ng/mL,,32,0.26,0.05,0.5,,,2.05,0.74,Lassen 2013
372,18707,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, 24-h",LC-MS/MS after enzymatic hydrolysis,Triclosan (TCS),"",,3.54,2.04,ng/mL,,32,0.55,0.35,0.73,,,3.28,3.98,Lassen 2013
373,18709,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, 24-h",LC-MS/MS after enzymatic hydrolysis,Benzophenone-3 (BP-3),"",,2.38,2.79,ng/mL,,32,0.69,0.52,0.82,,,1.94,4.26,Lassen 2013
374,18710,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, 24-h",LC-MS/MS after enzymatic hydrolysis,Dichlorophenols,"2,4-Dichlorophenol (2,4-DCP) + 2,5-Dichlorophenol (2,5-DCP)",,0.3,0.37,ng/mL,,32,0.5,0.29,0.69,,,1.08,1.07,Lassen 2013
375,18715,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Triclosan (TCS),"",,4.85,2.74,ng/mL,,31,0.56,0.36,0.74,,,2.92,3.71,Lassen 2013
376,18718,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Dichlorophenols,"2,4-Dichlorophenol (2,4-DCP) + 2,5-Dichlorophenol (2,5-DCP)",,0.58,,ng/mL,,31,0.39,0.17,0.61,,,1.19,0.77,Lassen 2013
377,18722,All,Participants in a study of reproductive health,Denmark,,baseline; 4 days,"Urine, spot",LC-MS/MS after enzymatic hydrolysis,Bisphenol A (BPA),"",,1.19,1.75,ng/mL,,31,0.42,0.09,0.67,,,1.45,1.04,Lassen 2013
378,18725,All,Participants in a study of reproductive health,Denmark,,baseline; 4 days,"Urine, spot",LC-MS/MS after enzymatic hydrolysis,Benzophenone-3 (BP-3),"",,4.97,4.37,ng/mL,,31,0.8,0.64,0.9,,,0.85,3.47,Lassen 2013
379,18717,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Benzophenone-3 (BP-3),"",,5.84,6.75,ng/mL,,32,0.72,0.55,0.84,,,1.2,3.04,Lassen 2013
380,18714,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Bisphenol A (BPA),"",,1.67,2.16,ng/mL,,32,0.1,0.0,0.35,,,1.88,0.22,Lassen 2013
381,18723,All,Participants in a study of reproductive health,Denmark,,baseline; 4 days,"Urine, spot",LC-MS/MS after enzymatic hydrolysis,Triclosan (TCS),"",,5.6,3.86,ng/mL,,32,0.9,0.81,0.95,,,0.53,4.79,Lassen 2013
382,18726,All,Participants in a study of reproductive health,Denmark,,baseline; 4 days,"Urine, spot",LC-MS/MS after enzymatic hydrolysis,Dichlorophenols,"2,4-Dichlorophenol (2,4-DCP) + 2,5-Dichlorophenol (2,5-DCP)",,0.57,0.82,ng/mL,,32,0.72,0.51,0.86,,,0.68,1.78,Lassen 2013
383,18730,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Monoethyl phthalate (MEP),"",,,53.1,ng/mL,,33,0.33,0.11,0.55,,,1.074,0.524,Frederiksen 2013
384,18731,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,DBP metabolites,Mono-n-butyl phthalate (MnBP) + Mono-isobutyl phthalate (MiBP),,,116.0,ng/mL,,33,0.37,0.15,0.59,,,0.316,0.187,Frederiksen 2013
385,18732,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Monobenzyl phthalate (MBzP),"",,,33.6,ng/mL,,33,0.31,0.1,0.54,,,1.065,0.485,Frederiksen 2013
386,18733,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Mono(2-ethylhexyl) phthalate (MEHP),"",,,5.66,ng/mL,,33,0.21,0.0,0.45,,,0.608,0.157,Frederiksen 2013
387,18734,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP),"",,,32.6,ng/mL,,33,0.21,0.0,0.45,,,0.532,0.143,Frederiksen 2013
388,18742,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,DEHP metabolites,Mono(2-ethylhexyl) phthalate (MEHP) + Mono(2-ethyl-5-oxohexyl) phthalate (MEOHP) + Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP),,,108.0,ng/mL,,33,0.21,0.0,0.45,,,0.472,0.123,Frederiksen 2013
389,18743,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,DiNP metabolites,Mono-hydroxy-isononyl phthalate (OH-MiNP) + Mono-isononyl phthalate (MiNP) + Mono(carboxy-isooctyl) phthalate (MCOP) + Mono-oxo-isononyl phthalate (oxo-MiNP),,,37.4,ng/mL,,33,0.25,0.04,0.49,,,0.599,0.2,Frederiksen 2013
391,18746,All,Participants in a study of reproductive health,Denmark,,baseline; 4 days,"Urine, spot",LC-MS/MS after enzymatic hydrolysis,Monoethyl phthalate (MEP),"",,,70.4,ng/mL,,33,0.65,0.39,0.81,,,1.01,1.873,Frederiksen 2013
392,18748,All,Participants in a study of reproductive health,Denmark,,baseline; 4 days,"Urine, spot",LC-MS/MS after enzymatic hydrolysis,Monobenzyl phthalate (MBzP),"",,,25.0,ng/mL,,33,0.38,0.04,0.65,,,1.512,0.933,Frederiksen 2013
393,18750,All,Participants in a study of reproductive health,Denmark,,baseline; 4 days,"Urine, spot",LC-MS/MS after enzymatic hydrolysis,Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP),"",,,23.7,ng/mL,,33,0.19,0.0,0.5,,,0.665,0.157,Frederiksen 2013
394,18747,All,Participants in a study of reproductive health,Denmark,,baseline; 4 days,"Urine, spot",LC-MS/MS after enzymatic hydrolysis,DBP metabolites,Mono-n-butyl phthalate (MnBP) + Mono-isobutyl phthalate (MiBP),,,106.0,ng/mL,,33,0.39,0.05,0.64,,,0.285,0.179,Frederiksen 2013
395,18761,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, 24-h",LC-MS/MS after enzymatic hydrolysis,DBP metabolites,Mono-n-butyl phthalate (MnBP) + Mono-isobutyl phthalate (MiBP),,,74.8,ng/mL,,33,0.56,0.36,0.73,,,0.167,0.211,Frederiksen 2013
396,18763,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, 24-h",LC-MS/MS after enzymatic hydrolysis,Mono(2-ethylhexyl) phthalate (MEHP),"",,,5.49,ng/mL,,33,0.19,0.0,0.43,,,0.477,0.114,Frederiksen 2013
397,18772,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, 24-h",LC-MS/MS after enzymatic hydrolysis,DEHP metabolites,Mono(2-ethylhexyl) phthalate (MEHP) + Mono(2-ethyl-5-oxohexyl) phthalate (MEOHP) + Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP),,,85.6,ng/mL,,33,0.06,0.0,0.3,,,0.399,0.027,Frederiksen 2013
398,18759,All,Participants in a study of reproductive health,Denmark,,baseline; 4 days,"Urine, spot",LC-MS/MS after enzymatic hydrolysis,DiNP metabolites,Mono-hydroxy-isononyl phthalate (OH-MiNP) + Mono-isononyl phthalate (MiNP) + Mono(carboxy-isooctyl) phthalate (MCOP) + Mono-oxo-isononyl phthalate (oxo-MiNP),,,22.5,ng/mL,,33,0.08,0.0,0.41,,,0.79,0.066,Frederiksen 2013
399,18749,All,Participants in a study of reproductive health,Denmark,,baseline; 4 days,"Urine, spot",LC-MS/MS after enzymatic hydrolysis,Mono(2-ethylhexyl) phthalate (MEHP),"",,,5.29,ng/mL,,33,0.37,0.03,0.63,,,0.458,0.265,Frederiksen 2013
400,18758,All,Participants in a study of reproductive health,Denmark,,baseline; 4 days,"Urine, spot",LC-MS/MS after enzymatic hydrolysis,DEHP metabolites,Mono(2-ethylhexyl) phthalate (MEHP) + Mono(2-ethyl-5-oxohexyl) phthalate (MEOHP) + Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP),,,83.2,ng/mL,,33,0.19,0.0,0.5,,,0.571,0.138,Frederiksen 2013
401,18760,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, 24-h",LC-MS/MS after enzymatic hydrolysis,Monoethyl phthalate (MEP),"",,,38.6,ng/mL,,33,0.51,0.3,0.7,,,0.781,0.826,Frederiksen 2013
402,18762,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, 24-h",LC-MS/MS after enzymatic hydrolysis,Monobenzyl phthalate (MBzP),"",,,21.2,ng/mL,,33,0.59,0.39,0.75,,,0.424,0.601,Frederiksen 2013
403,18764,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, 24-h",LC-MS/MS after enzymatic hydrolysis,Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP),"",,,25.3,ng/mL,,33,0.09,0.0,0.33,,,0.409,0.041,Frederiksen 2013
404,18773,All,Participants in a study of reproductive health,Denmark,,baseline; 40 days; 83 days,"Urine, 24-h",LC-MS/MS after enzymatic hydrolysis,DiNP metabolites,Mono-hydroxy-isononyl phthalate (OH-MiNP) + Mono-isononyl phthalate (MiNP) + Mono(carboxy-isooctyl) phthalate (MCOP) + Mono-oxo-isononyl phthalate (oxo-MiNP),,,24.9,ng/mL,,33,0.26,0.05,0.5,,,0.577,0.203,Frederiksen 2013
405,18774,All,Participants in a study of the relationship between environmental agents and male reproductive health,United States,Study of environmental factors in reproductive health,baseline; day 1; day 2; day 3; day 31; day 32; day 33; day 91; day 92; day 93,"Urine, first morning spot",GC-MS/MS after enzymatic hydrolysis,TCPy,"",,2.26,2.67,ug/L,,370,0.15,,,,,,,Meeker 2005
406,18775,All,Participants in a study of the relationship between environmental agents and male reproductive health,United States,Study of environmental factors in reproductive health,baseline; day 1; day 2; day 3; day 31; day 32; day 33; day 91; day 92; day 93,"Urine, first morning spot",GC-MS/MS after enzymatic hydrolysis,TCPy,"",,1.94,2.28,ug/g,Creatinine,370,0.21,,,,,,,Meeker 2005
407,18776,All,Participants in a study of the relationship between environmental agents and male reproductive health,United States,Study of environmental factors in reproductive health,baseline; day 1; day 2; day 3; day 31; day 32; day 33; day 91; day 92; day 93,"Urine, first morning spot",GC-MS/MS after enzymatic hydrolysis,1-Hydroxynaphthalene,"",,2.79,2.87,ug/L,,370,0.61,,,,,,,Meeker 2005
408,18777,All,Participants in a study of the relationship between environmental agents and male reproductive health,United States,Study of environmental factors in reproductive health,baseline; day 1; day 2; day 3; day 31; day 32; day 33; day 91; day 92; day 93,"Urine, first morning spot",GC-MS/MS after enzymatic hydrolysis,1-Hydroxynaphthalene,"",,2.4,2.26,ug/g,Creatinine,370,0.57,,,,,,,Meeker 2005
416,2835,All,Volunteers from Cambridgeshire,United Kingdom,,day 1; day 2; day 3; day 4; day 5; ... ; day 30,"Urine, 24-h",HPLC,Thiamin,"",526.5,,,ug/day,,13,0.58,,,32.5,36.7,,,Tasevska 2008
