"","accession","dname"
"25076","HMDB0081383","3-methylglutaconic aciduria type II"
"25077","HMDB0081383","X-linked"
"25078","HMDB0081384","3-methylglutaconic aciduria type II"
"25079","HMDB0081384","X-linked"
"25080","HMDB0081385","3-methylglutaconic aciduria type II"
"25081","HMDB0081385","X-linked"
"25082","HMDB0081386","3-methylglutaconic aciduria type II"
"25083","HMDB0081386","X-linked"
"25084","HMDB0081387","3-methylglutaconic aciduria type II"
"25085","HMDB0081387","X-linked"
"25086","HMDB0081388","3-methylglutaconic aciduria type II"
"25087","HMDB0081388","X-linked"
"25088","HMDB0081389","3-methylglutaconic aciduria type II"
"25089","HMDB0081389","X-linked"
"25090","HMDB0081390","3-methylglutaconic aciduria type II"
"25091","HMDB0081390","X-linked"
"25092","HMDB0081391","3-methylglutaconic aciduria type II"
"25093","HMDB0081391","X-linked"
"25094","HMDB0081392","3-methylglutaconic aciduria type II"
"25095","HMDB0081392","X-linked"
"25096","HMDB0081393","3-methylglutaconic aciduria type II"
"25097","HMDB0081393","X-linked"
"25098","HMDB0081394","3-methylglutaconic aciduria type II"
"25099","HMDB0081394","X-linked"
"25100","HMDB0081395","3-methylglutaconic aciduria type II"
"25101","HMDB0081395","X-linked"
"25102","HMDB0081396","3-methylglutaconic aciduria type II"
"25103","HMDB0081396","X-linked"
"25104","HMDB0081397","3-methylglutaconic aciduria type II"
"25105","HMDB0081397","X-linked"
"25106","HMDB0081398","3-methylglutaconic aciduria type II"
"25107","HMDB0081398","X-linked"
"25108","HMDB0081399","3-methylglutaconic aciduria type II"
"25109","HMDB0081399","X-linked"
"25110","HMDB0081400","3-methylglutaconic aciduria type II"
"25111","HMDB0081400","X-linked"
"25112","HMDB0081401","3-methylglutaconic aciduria type II"
"25113","HMDB0081401","X-linked"
"25114","HMDB0081402","3-methylglutaconic aciduria type II"
"25115","HMDB0081402","X-linked"
"25116","HMDB0081403","3-methylglutaconic aciduria type II"
"25117","HMDB0081403","X-linked"
"25118","HMDB0081404","3-methylglutaconic aciduria type II"
"25119","HMDB0081404","X-linked"
"25120","HMDB0081405","3-methylglutaconic aciduria type II"
"25121","HMDB0081405","X-linked"
"25122","HMDB0081406","3-methylglutaconic aciduria type II"
"25123","HMDB0081406","X-linked"
"25124","HMDB0081407","3-methylglutaconic aciduria type II"
"25125","HMDB0081407","X-linked"
"25126","HMDB0081408","3-methylglutaconic aciduria type II"
"25127","HMDB0081408","X-linked"
"25128","HMDB0081409","3-methylglutaconic aciduria type II"
"25129","HMDB0081409","X-linked"
"25130","HMDB0081410","3-methylglutaconic aciduria type II"
"25131","HMDB0081410","X-linked"
"25132","HMDB0081411","3-methylglutaconic aciduria type II"
"25133","HMDB0081411","X-linked"
"25134","HMDB0081412","3-methylglutaconic aciduria type II"
"25135","HMDB0081412","X-linked"
"25136","HMDB0081413","3-methylglutaconic aciduria type II"
"25137","HMDB0081413","X-linked"
"25138","HMDB0081414","3-methylglutaconic aciduria type II"
"25139","HMDB0081414","X-linked"
"25140","HMDB0081415","3-methylglutaconic aciduria type II"
"25141","HMDB0081415","X-linked"
"25142","HMDB0081416","3-methylglutaconic aciduria type II"
"25143","HMDB0081416","X-linked"
"25144","HMDB0081417","3-methylglutaconic aciduria type II"
"25145","HMDB0081417","X-linked"
"25146","HMDB0081418","3-methylglutaconic aciduria type II"
"25147","HMDB0081418","X-linked"
"25148","HMDB0081419","3-methylglutaconic aciduria type II"
"25149","HMDB0081419","X-linked"
"25150","HMDB0081420","3-methylglutaconic aciduria type II"
"25151","HMDB0081420","X-linked"
"25152","HMDB0081421","3-methylglutaconic aciduria type II"
"25153","HMDB0081421","X-linked"
"25154","HMDB0081422","3-methylglutaconic aciduria type II"
"25155","HMDB0081422","X-linked"
"25156","HMDB0081423","3-methylglutaconic aciduria type II"
"25157","HMDB0081423","X-linked"
"25158","HMDB0081424","3-methylglutaconic aciduria type II"
"25159","HMDB0081424","X-linked"
"25160","HMDB0081425","3-methylglutaconic aciduria type II"
"25161","HMDB0081425","X-linked"
"25162","HMDB0081426","3-methylglutaconic aciduria type II"
"25163","HMDB0081426","X-linked"
"25164","HMDB0081427","3-methylglutaconic aciduria type II"
"25165","HMDB0081427","X-linked"
"25166","HMDB0081428","3-methylglutaconic aciduria type II"
"25167","HMDB0081428","X-linked"
"25168","HMDB0081429","3-methylglutaconic aciduria type II"
"25169","HMDB0081429","X-linked"
"25170","HMDB0081430","3-methylglutaconic aciduria type II"
"25171","HMDB0081430","X-linked"
"25172","HMDB0081431","3-methylglutaconic aciduria type II"
"25173","HMDB0081431","X-linked"
"25174","HMDB0081432","3-methylglutaconic aciduria type II"
"25175","HMDB0081432","X-linked"
"25176","HMDB0081433","3-methylglutaconic aciduria type II"
"25177","HMDB0081433","X-linked"
"25178","HMDB0081434","3-methylglutaconic aciduria type II"
"25179","HMDB0081434","X-linked"
"25180","HMDB0081435","3-methylglutaconic aciduria type II"
"25181","HMDB0081435","X-linked"
"25182","HMDB0081436","3-methylglutaconic aciduria type II"
"25183","HMDB0081436","X-linked"
"25184","HMDB0081437","3-methylglutaconic aciduria type II"
"25185","HMDB0081437","X-linked"
"25186","HMDB0081438","3-methylglutaconic aciduria type II"
"25187","HMDB0081438","X-linked"
"25188","HMDB0081439","3-methylglutaconic aciduria type II"
"25189","HMDB0081439","X-linked"
"25190","HMDB0081440","3-methylglutaconic aciduria type II"
"25191","HMDB0081440","X-linked"
"25192","HMDB0081441","3-methylglutaconic aciduria type II"
"25193","HMDB0081441","X-linked"
"25194","HMDB0081442","3-methylglutaconic aciduria type II"
"25195","HMDB0081442","X-linked"
"25196","HMDB0081443","3-methylglutaconic aciduria type II"
"25197","HMDB0081443","X-linked"
"25198","HMDB0081444","3-methylglutaconic aciduria type II"
"25199","HMDB0081444","X-linked"
"25200","HMDB0081445","3-methylglutaconic aciduria type II"
"25201","HMDB0081445","X-linked"
"25202","HMDB0081446","3-methylglutaconic aciduria type II"
"25203","HMDB0081446","X-linked"
"25204","HMDB0081447","3-methylglutaconic aciduria type II"
"25205","HMDB0081447","X-linked"
"25206","HMDB0081448","3-methylglutaconic aciduria type II"
"25207","HMDB0081448","X-linked"
"25208","HMDB0081449","3-methylglutaconic aciduria type II"
"25209","HMDB0081449","X-linked"
"25210","HMDB0081450","3-methylglutaconic aciduria type II"
"25211","HMDB0081450","X-linked"
"25212","HMDB0081451","3-methylglutaconic aciduria type II"
"25213","HMDB0081451","X-linked"
"25214","HMDB0081452","3-methylglutaconic aciduria type II"
"25215","HMDB0081452","X-linked"
"25216","HMDB0081453","3-methylglutaconic aciduria type II"
"25217","HMDB0081453","X-linked"
"25218","HMDB0081454","3-methylglutaconic aciduria type II"
"25219","HMDB0081454","X-linked"
"25220","HMDB0081455","3-methylglutaconic aciduria type II"
"25221","HMDB0081455","X-linked"
"25222","HMDB0081456","3-methylglutaconic aciduria type II"
"25223","HMDB0081456","X-linked"
"25224","HMDB0081457","3-methylglutaconic aciduria type II"
"25225","HMDB0081457","X-linked"
"25226","HMDB0081458","3-methylglutaconic aciduria type II"
"25227","HMDB0081458","X-linked"
"25228","HMDB0081459","3-methylglutaconic aciduria type II"
"25229","HMDB0081459","X-linked"
"25230","HMDB0081460","3-methylglutaconic aciduria type II"
"25231","HMDB0081460","X-linked"
"25232","HMDB0081461","3-methylglutaconic aciduria type II"
"25233","HMDB0081461","X-linked"
"25234","HMDB0081462","3-methylglutaconic aciduria type II"
"25235","HMDB0081462","X-linked"
"25236","HMDB0081463","3-methylglutaconic aciduria type II"
"25237","HMDB0081463","X-linked"
"25238","HMDB0081464","3-methylglutaconic aciduria type II"
"25239","HMDB0081464","X-linked"
"25240","HMDB0081465","3-methylglutaconic aciduria type II"
"25241","HMDB0081465","X-linked"
"25242","HMDB0081466","3-methylglutaconic aciduria type II"
"25243","HMDB0081466","X-linked"
"25244","HMDB0081467","3-methylglutaconic aciduria type II"
"25245","HMDB0081467","X-linked"
"25246","HMDB0081468","3-methylglutaconic aciduria type II"
"25247","HMDB0081468","X-linked"
"25248","HMDB0081469","3-methylglutaconic aciduria type II"
"25249","HMDB0081469","X-linked"
"25250","HMDB0081470","3-methylglutaconic aciduria type II"
"25251","HMDB0081470","X-linked"
"25252","HMDB0081471","3-methylglutaconic aciduria type II"
"25253","HMDB0081471","X-linked"
"25254","HMDB0081472","3-methylglutaconic aciduria type II"
"25255","HMDB0081472","X-linked"
"25256","HMDB0081473","3-methylglutaconic aciduria type II"
"25257","HMDB0081473","X-linked"
"25258","HMDB0081474","3-methylglutaconic aciduria type II"
"25259","HMDB0081474","X-linked"
"25260","HMDB0081475","3-methylglutaconic aciduria type II"
"25261","HMDB0081475","X-linked"
"25262","HMDB0081476","3-methylglutaconic aciduria type II"
"25263","HMDB0081476","X-linked"
"25264","HMDB0081477","3-methylglutaconic aciduria type II"
"25265","HMDB0081477","X-linked"
"25266","HMDB0081478","3-methylglutaconic aciduria type II"
"25267","HMDB0081478","X-linked"
"25268","HMDB0081479","3-methylglutaconic aciduria type II"
"25269","HMDB0081479","X-linked"
"25270","HMDB0081480","3-methylglutaconic aciduria type II"
"25271","HMDB0081480","X-linked"
"25272","HMDB0081481","3-methylglutaconic aciduria type II"
"25273","HMDB0081481","X-linked"
"25274","HMDB0081482","3-methylglutaconic aciduria type II"
"25275","HMDB0081482","X-linked"
"25276","HMDB0081483","3-methylglutaconic aciduria type II"
"25277","HMDB0081483","X-linked"
"25278","HMDB0081484","3-methylglutaconic aciduria type II"
"25279","HMDB0081484","X-linked"
"25280","HMDB0081485","3-methylglutaconic aciduria type II"
"25281","HMDB0081485","X-linked"
"25282","HMDB0081486","3-methylglutaconic aciduria type II"
"25283","HMDB0081486","X-linked"
"25284","HMDB0081487","3-methylglutaconic aciduria type II"
"25285","HMDB0081487","X-linked"
"25286","HMDB0081488","3-methylglutaconic aciduria type II"
"25287","HMDB0081488","X-linked"
"25288","HMDB0081489","3-methylglutaconic aciduria type II"
"25289","HMDB0081489","X-linked"
"25290","HMDB0081490","3-methylglutaconic aciduria type II"
"25291","HMDB0081490","X-linked"
"25292","HMDB0081491","3-methylglutaconic aciduria type II"
"25293","HMDB0081491","X-linked"
"25294","HMDB0081492","3-methylglutaconic aciduria type II"
"25295","HMDB0081492","X-linked"
"25296","HMDB0081493","3-methylglutaconic aciduria type II"
"25297","HMDB0081493","X-linked"
"25298","HMDB0081494","3-methylglutaconic aciduria type II"
"25299","HMDB0081494","X-linked"
"25300","HMDB0081495","3-methylglutaconic aciduria type II"
"25301","HMDB0081495","X-linked"
"25302","HMDB0081496","3-methylglutaconic aciduria type II"
"25303","HMDB0081496","X-linked"
"25304","HMDB0081497","3-methylglutaconic aciduria type II"
"25305","HMDB0081497","X-linked"
"25306","HMDB0081498","3-methylglutaconic aciduria type II"
"25307","HMDB0081498","X-linked"
"25308","HMDB0081499","3-methylglutaconic aciduria type II"
"25309","HMDB0081499","X-linked"
"25310","HMDB0081500","3-methylglutaconic aciduria type II"
"25311","HMDB0081500","X-linked"
"25312","HMDB0081501","3-methylglutaconic aciduria type II"
"25313","HMDB0081501","X-linked"
"25314","HMDB0081502","3-methylglutaconic aciduria type II"
"25315","HMDB0081502","X-linked"
"25316","HMDB0081503","3-methylglutaconic aciduria type II"
"25317","HMDB0081503","X-linked"
"25318","HMDB0081504","3-methylglutaconic aciduria type II"
"25319","HMDB0081504","X-linked"
"25320","HMDB0081505","3-methylglutaconic aciduria type II"
"25321","HMDB0081505","X-linked"
"25322","HMDB0081506","3-methylglutaconic aciduria type II"
"25323","HMDB0081506","X-linked"
"25324","HMDB0081507","3-methylglutaconic aciduria type II"
"25325","HMDB0081507","X-linked"
"25326","HMDB0081508","3-methylglutaconic aciduria type II"
"25327","HMDB0081508","X-linked"
"25328","HMDB0081509","3-methylglutaconic aciduria type II"
"25329","HMDB0081509","X-linked"
"25330","HMDB0081510","3-methylglutaconic aciduria type II"
"25331","HMDB0081510","X-linked"
"25332","HMDB0081511","3-methylglutaconic aciduria type II"
"25333","HMDB0081511","X-linked"
"25334","HMDB0081512","3-methylglutaconic aciduria type II"
"25335","HMDB0081512","X-linked"
"25336","HMDB0081513","3-methylglutaconic aciduria type II"
"25337","HMDB0081513","X-linked"
"25338","HMDB0081514","3-methylglutaconic aciduria type II"
"25339","HMDB0081514","X-linked"
"25340","HMDB0081515","3-methylglutaconic aciduria type II"
"25341","HMDB0081515","X-linked"
"25342","HMDB0081516","3-methylglutaconic aciduria type II"
"25343","HMDB0081516","X-linked"
"25344","HMDB0081517","3-methylglutaconic aciduria type II"
"25345","HMDB0081517","X-linked"
"25346","HMDB0081518","3-methylglutaconic aciduria type II"
"25347","HMDB0081518","X-linked"
"25348","HMDB0081519","3-methylglutaconic aciduria type II"
"25349","HMDB0081519","X-linked"
"25350","HMDB0081520","3-methylglutaconic aciduria type II"
"25351","HMDB0081520","X-linked"
"25352","HMDB0081521","3-methylglutaconic aciduria type II"
"25353","HMDB0081521","X-linked"
"25354","HMDB0081522","3-methylglutaconic aciduria type II"
"25355","HMDB0081522","X-linked"
"25356","HMDB0081523","3-methylglutaconic aciduria type II"
"25357","HMDB0081523","X-linked"
"25358","HMDB0081524","3-methylglutaconic aciduria type II"
"25359","HMDB0081524","X-linked"
"25360","HMDB0081525","3-methylglutaconic aciduria type II"
"25361","HMDB0081525","X-linked"
"25362","HMDB0081526","3-methylglutaconic aciduria type II"
"25363","HMDB0081526","X-linked"
"25364","HMDB0081527","3-methylglutaconic aciduria type II"
"25365","HMDB0081527","X-linked"
"25366","HMDB0081528","3-methylglutaconic aciduria type II"
"25367","HMDB0081528","X-linked"
"25368","HMDB0081529","3-methylglutaconic aciduria type II"
"25369","HMDB0081529","X-linked"
"25370","HMDB0081530","3-methylglutaconic aciduria type II"
"25371","HMDB0081530","X-linked"
"25372","HMDB0081531","3-methylglutaconic aciduria type II"
"25373","HMDB0081531","X-linked"
"25374","HMDB0081532","3-methylglutaconic aciduria type II"
"25375","HMDB0081532","X-linked"
"25376","HMDB0081533","3-methylglutaconic aciduria type II"
"25377","HMDB0081533","X-linked"
"25378","HMDB0081534","3-methylglutaconic aciduria type II"
"25379","HMDB0081534","X-linked"
"25380","HMDB0081535","3-methylglutaconic aciduria type II"
"25381","HMDB0081535","X-linked"
"25382","HMDB0081536","3-methylglutaconic aciduria type II"
"25383","HMDB0081536","X-linked"
"25384","HMDB0081537","3-methylglutaconic aciduria type II"
"25385","HMDB0081537","X-linked"
"25386","HMDB0081538","3-methylglutaconic aciduria type II"
"25387","HMDB0081538","X-linked"
"25388","HMDB0081539","3-methylglutaconic aciduria type II"
"25389","HMDB0081539","X-linked"
"25390","HMDB0081540","3-methylglutaconic aciduria type II"
"25391","HMDB0081540","X-linked"
"25392","HMDB0081541","3-methylglutaconic aciduria type II"
"25393","HMDB0081541","X-linked"
"25394","HMDB0081542","3-methylglutaconic aciduria type II"
"25395","HMDB0081542","X-linked"
"25396","HMDB0081543","3-methylglutaconic aciduria type II"
"25397","HMDB0081543","X-linked"
"25398","HMDB0081544","3-methylglutaconic aciduria type II"
"25399","HMDB0081544","X-linked"
"25400","HMDB0081545","3-methylglutaconic aciduria type II"
"25401","HMDB0081545","X-linked"
"25402","HMDB0081546","3-methylglutaconic aciduria type II"
"25403","HMDB0081546","X-linked"
"25404","HMDB0081547","3-methylglutaconic aciduria type II"
"25405","HMDB0081547","X-linked"
"25406","HMDB0081548","3-methylglutaconic aciduria type II"
"25407","HMDB0081548","X-linked"
"25408","HMDB0081549","3-methylglutaconic aciduria type II"
"25409","HMDB0081549","X-linked"
"25410","HMDB0081550","3-methylglutaconic aciduria type II"
"25411","HMDB0081550","X-linked"
"25412","HMDB0081551","3-methylglutaconic aciduria type II"
"25413","HMDB0081551","X-linked"
"25414","HMDB0081552","3-methylglutaconic aciduria type II"
"25415","HMDB0081552","X-linked"
"25416","HMDB0081553","3-methylglutaconic aciduria type II"
"25417","HMDB0081553","X-linked"
"25418","HMDB0081554","3-methylglutaconic aciduria type II"
"25419","HMDB0081554","X-linked"
"25420","HMDB0081555","3-methylglutaconic aciduria type II"
"25421","HMDB0081555","X-linked"
"25422","HMDB0081556","3-methylglutaconic aciduria type II"
"25423","HMDB0081556","X-linked"
"25424","HMDB0081557","3-methylglutaconic aciduria type II"
"25425","HMDB0081557","X-linked"
"25426","HMDB0081558","3-methylglutaconic aciduria type II"
"25427","HMDB0081558","X-linked"
"25428","HMDB0081559","3-methylglutaconic aciduria type II"
"25429","HMDB0081559","X-linked"
"25430","HMDB0081560","3-methylglutaconic aciduria type II"
"25431","HMDB0081560","X-linked"
"25432","HMDB0081561","3-methylglutaconic aciduria type II"
"25433","HMDB0081561","X-linked"
"25434","HMDB0081562","3-methylglutaconic aciduria type II"
"25435","HMDB0081562","X-linked"
"25436","HMDB0081563","3-methylglutaconic aciduria type II"
"25437","HMDB0081563","X-linked"
"25438","HMDB0081564","3-methylglutaconic aciduria type II"
"25439","HMDB0081564","X-linked"
"25440","HMDB0081565","3-methylglutaconic aciduria type II"
"25441","HMDB0081565","X-linked"
"25442","HMDB0081566","3-methylglutaconic aciduria type II"
"25443","HMDB0081566","X-linked"
"25444","HMDB0081567","3-methylglutaconic aciduria type II"
"25445","HMDB0081567","X-linked"
"25446","HMDB0081568","3-methylglutaconic aciduria type II"
"25447","HMDB0081568","X-linked"
"25448","HMDB0081569","3-methylglutaconic aciduria type II"
"25449","HMDB0081569","X-linked"
"25450","HMDB0081570","3-methylglutaconic aciduria type II"
"25451","HMDB0081570","X-linked"
"25452","HMDB0081571","3-methylglutaconic aciduria type II"
"25453","HMDB0081571","X-linked"
"25454","HMDB0081572","3-methylglutaconic aciduria type II"
"25455","HMDB0081572","X-linked"
"25456","HMDB0081573","3-methylglutaconic aciduria type II"
"25457","HMDB0081573","X-linked"
"25458","HMDB0081574","3-methylglutaconic aciduria type II"
"25459","HMDB0081574","X-linked"
"25460","HMDB0081575","3-methylglutaconic aciduria type II"
"25461","HMDB0081575","X-linked"
"25462","HMDB0081576","3-methylglutaconic aciduria type II"
"25463","HMDB0081576","X-linked"
"25464","HMDB0081577","3-methylglutaconic aciduria type II"
"25465","HMDB0081577","X-linked"
"25466","HMDB0081578","3-methylglutaconic aciduria type II"
"25467","HMDB0081578","X-linked"
"25468","HMDB0081579","3-methylglutaconic aciduria type II"
"25469","HMDB0081579","X-linked"
"25470","HMDB0081580","3-methylglutaconic aciduria type II"
"25471","HMDB0081580","X-linked"
"25472","HMDB0081581","3-methylglutaconic aciduria type II"
"25473","HMDB0081581","X-linked"
"25474","HMDB0081582","3-methylglutaconic aciduria type II"
"25475","HMDB0081582","X-linked"
"25476","HMDB0081583","3-methylglutaconic aciduria type II"
"25477","HMDB0081583","X-linked"
"25478","HMDB0081584","3-methylglutaconic aciduria type II"
"25479","HMDB0081584","X-linked"
"25480","HMDB0081585","3-methylglutaconic aciduria type II"
"25481","HMDB0081585","X-linked"
"25482","HMDB0081586","3-methylglutaconic aciduria type II"
"25483","HMDB0081586","X-linked"
"25484","HMDB0081587","3-methylglutaconic aciduria type II"
"25485","HMDB0081587","X-linked"
"25486","HMDB0081588","3-methylglutaconic aciduria type II"
"25487","HMDB0081588","X-linked"
"25488","HMDB0081589","3-methylglutaconic aciduria type II"
"25489","HMDB0081589","X-linked"
"25490","HMDB0081590","3-methylglutaconic aciduria type II"
"25491","HMDB0081590","X-linked"
"25492","HMDB0081591","3-methylglutaconic aciduria type II"
"25493","HMDB0081591","X-linked"
"25494","HMDB0081592","3-methylglutaconic aciduria type II"
"25495","HMDB0081592","X-linked"
"25496","HMDB0081593","3-methylglutaconic aciduria type II"
"25497","HMDB0081593","X-linked"
"25498","HMDB0081594","3-methylglutaconic aciduria type II"
"25499","HMDB0081594","X-linked"
"25500","HMDB0081595","3-methylglutaconic aciduria type II"
"25501","HMDB0081595","X-linked"
"25502","HMDB0081596","3-methylglutaconic aciduria type II"
"25503","HMDB0081596","X-linked"
"25504","HMDB0081597","3-methylglutaconic aciduria type II"
"25505","HMDB0081597","X-linked"
"25506","HMDB0081598","3-methylglutaconic aciduria type II"
"25507","HMDB0081598","X-linked"
"25508","HMDB0081599","3-methylglutaconic aciduria type II"
"25509","HMDB0081599","X-linked"
"25510","HMDB0081600","3-methylglutaconic aciduria type II"
"25511","HMDB0081600","X-linked"
"25512","HMDB0081601","3-methylglutaconic aciduria type II"
"25513","HMDB0081601","X-linked"
"25514","HMDB0081602","3-methylglutaconic aciduria type II"
"25515","HMDB0081602","X-linked"
"25516","HMDB0081603","3-methylglutaconic aciduria type II"
"25517","HMDB0081603","X-linked"
"25518","HMDB0081604","3-methylglutaconic aciduria type II"
"25519","HMDB0081604","X-linked"
"25520","HMDB0081605","3-methylglutaconic aciduria type II"
"25521","HMDB0081605","X-linked"
"25522","HMDB0081606","3-methylglutaconic aciduria type II"
"25523","HMDB0081606","X-linked"
"25524","HMDB0081607","3-methylglutaconic aciduria type II"
"25525","HMDB0081607","X-linked"
"25526","HMDB0081608","3-methylglutaconic aciduria type II"
"25527","HMDB0081608","X-linked"
"25528","HMDB0081609","3-methylglutaconic aciduria type II"
"25529","HMDB0081609","X-linked"
"25530","HMDB0081610","3-methylglutaconic aciduria type II"
"25531","HMDB0081610","X-linked"
"25532","HMDB0081611","3-methylglutaconic aciduria type II"
"25533","HMDB0081611","X-linked"
"25534","HMDB0081612","3-methylglutaconic aciduria type II"
"25535","HMDB0081612","X-linked"
"25536","HMDB0081613","3-methylglutaconic aciduria type II"
"25537","HMDB0081613","X-linked"
"25538","HMDB0081614","3-methylglutaconic aciduria type II"
"25539","HMDB0081614","X-linked"
"25540","HMDB0081615","3-methylglutaconic aciduria type II"
"25541","HMDB0081615","X-linked"
"25542","HMDB0081616","3-methylglutaconic aciduria type II"
"25543","HMDB0081616","X-linked"
"25544","HMDB0081617","3-methylglutaconic aciduria type II"
"25545","HMDB0081617","X-linked"
"25546","HMDB0081618","3-methylglutaconic aciduria type II"
"25547","HMDB0081618","X-linked"
"25548","HMDB0081619","3-methylglutaconic aciduria type II"
"25549","HMDB0081619","X-linked"
"25550","HMDB0081620","3-methylglutaconic aciduria type II"
"25551","HMDB0081620","X-linked"
"25552","HMDB0081621","3-methylglutaconic aciduria type II"
"25553","HMDB0081621","X-linked"
"25554","HMDB0081622","3-methylglutaconic aciduria type II"
"25555","HMDB0081622","X-linked"
"25556","HMDB0081623","3-methylglutaconic aciduria type II"
"25557","HMDB0081623","X-linked"
"25558","HMDB0081624","3-methylglutaconic aciduria type II"
"25559","HMDB0081624","X-linked"
"25560","HMDB0081625","3-methylglutaconic aciduria type II"
"25561","HMDB0081625","X-linked"
"25562","HMDB0081626","3-methylglutaconic aciduria type II"
"25563","HMDB0081626","X-linked"
"25564","HMDB0081627","3-methylglutaconic aciduria type II"
"25565","HMDB0081627","X-linked"
"25566","HMDB0081628","3-methylglutaconic aciduria type II"
"25567","HMDB0081628","X-linked"
"25568","HMDB0081629","3-methylglutaconic aciduria type II"
"25569","HMDB0081629","X-linked"
"25570","HMDB0081630","3-methylglutaconic aciduria type II"
"25571","HMDB0081630","X-linked"
"25572","HMDB0081631","3-methylglutaconic aciduria type II"
"25573","HMDB0081631","X-linked"
"25574","HMDB0081632","3-methylglutaconic aciduria type II"
"25575","HMDB0081632","X-linked"
"25576","HMDB0081633","3-methylglutaconic aciduria type II"
"25577","HMDB0081633","X-linked"
"25578","HMDB0081634","3-methylglutaconic aciduria type II"
"25579","HMDB0081634","X-linked"
"25580","HMDB0081635","3-methylglutaconic aciduria type II"
"25581","HMDB0081635","X-linked"
"25582","HMDB0081636","3-methylglutaconic aciduria type II"
"25583","HMDB0081636","X-linked"
"25584","HMDB0081637","3-methylglutaconic aciduria type II"
"25585","HMDB0081637","X-linked"
"25586","HMDB0081638","3-methylglutaconic aciduria type II"
"25587","HMDB0081638","X-linked"
"25588","HMDB0081639","3-methylglutaconic aciduria type II"
"25589","HMDB0081639","X-linked"
"25590","HMDB0081640","3-methylglutaconic aciduria type II"
"25591","HMDB0081640","X-linked"
"25592","HMDB0081641","3-methylglutaconic aciduria type II"
"25593","HMDB0081641","X-linked"
"25594","HMDB0081642","3-methylglutaconic aciduria type II"
"25595","HMDB0081642","X-linked"
"25596","HMDB0081643","3-methylglutaconic aciduria type II"
"25597","HMDB0081643","X-linked"
"25598","HMDB0081644","3-methylglutaconic aciduria type II"
"25599","HMDB0081644","X-linked"
"25600","HMDB0081645","3-methylglutaconic aciduria type II"
"25601","HMDB0081645","X-linked"
"25602","HMDB0081646","3-methylglutaconic aciduria type II"
"25603","HMDB0081646","X-linked"
"25604","HMDB0081647","3-methylglutaconic aciduria type II"
"25605","HMDB0081647","X-linked"
"25606","HMDB0081648","3-methylglutaconic aciduria type II"
"25607","HMDB0081648","X-linked"
"25608","HMDB0081649","3-methylglutaconic aciduria type II"
"25609","HMDB0081649","X-linked"
"25610","HMDB0081650","3-methylglutaconic aciduria type II"
"25611","HMDB0081650","X-linked"
"25612","HMDB0081651","3-methylglutaconic aciduria type II"
"25613","HMDB0081651","X-linked"
"25614","HMDB0081652","3-methylglutaconic aciduria type II"
"25615","HMDB0081652","X-linked"
"25616","HMDB0081653","3-methylglutaconic aciduria type II"
"25617","HMDB0081653","X-linked"
"25618","HMDB0081654","3-methylglutaconic aciduria type II"
"25619","HMDB0081654","X-linked"
"25620","HMDB0081655","3-methylglutaconic aciduria type II"
"25621","HMDB0081655","X-linked"
"25622","HMDB0081656","3-methylglutaconic aciduria type II"
"25623","HMDB0081656","X-linked"
"25624","HMDB0081657","3-methylglutaconic aciduria type II"
"25625","HMDB0081657","X-linked"
"25626","HMDB0081658","3-methylglutaconic aciduria type II"
"25627","HMDB0081658","X-linked"
"25628","HMDB0081659","3-methylglutaconic aciduria type II"
"25629","HMDB0081659","X-linked"
"25630","HMDB0081660","3-methylglutaconic aciduria type II"
"25631","HMDB0081660","X-linked"
"25632","HMDB0081661","3-methylglutaconic aciduria type II"
"25633","HMDB0081661","X-linked"
"25634","HMDB0081662","3-methylglutaconic aciduria type II"
"25635","HMDB0081662","X-linked"
"25636","HMDB0081663","3-methylglutaconic aciduria type II"
"25637","HMDB0081663","X-linked"
"25638","HMDB0081664","3-methylglutaconic aciduria type II"
"25639","HMDB0081664","X-linked"
"25640","HMDB0081665","3-methylglutaconic aciduria type II"
"25641","HMDB0081665","X-linked"
"25642","HMDB0081666","3-methylglutaconic aciduria type II"
"25643","HMDB0081666","X-linked"
"25644","HMDB0081667","3-methylglutaconic aciduria type II"
"25645","HMDB0081667","X-linked"
"25646","HMDB0081668","3-methylglutaconic aciduria type II"
"25647","HMDB0081668","X-linked"
"25648","HMDB0081669","3-methylglutaconic aciduria type II"
"25649","HMDB0081669","X-linked"
"25650","HMDB0081670","3-methylglutaconic aciduria type II"
"25651","HMDB0081670","X-linked"
"25652","HMDB0081671","3-methylglutaconic aciduria type II"
"25653","HMDB0081671","X-linked"
"25654","HMDB0081672","3-methylglutaconic aciduria type II"
"25655","HMDB0081672","X-linked"
"25656","HMDB0081673","3-methylglutaconic aciduria type II"
"25657","HMDB0081673","X-linked"
"25658","HMDB0081674","3-methylglutaconic aciduria type II"
"25659","HMDB0081674","X-linked"
"25660","HMDB0081675","3-methylglutaconic aciduria type II"
"25661","HMDB0081675","X-linked"
"25662","HMDB0081676","3-methylglutaconic aciduria type II"
"25663","HMDB0081676","X-linked"
"25664","HMDB0081677","3-methylglutaconic aciduria type II"
"25665","HMDB0081677","X-linked"
"25666","HMDB0081678","3-methylglutaconic aciduria type II"
"25667","HMDB0081678","X-linked"
"25668","HMDB0081679","3-methylglutaconic aciduria type II"
"25669","HMDB0081679","X-linked"
"25670","HMDB0081680","3-methylglutaconic aciduria type II"
