"","accession","route_of_exposure"
"1962","T3D2408","oral"
"1963","T3D2409","oral"
"1964","T3D2410","oral"
"1965","T3D2411","oral"
"1966","T3D2412","oral"
"1967","T3D2413","oral"
"1968","T3D2414","oral"
"1969","T3D2415","inhalation"
"1970","T3D2416","inhalation"
"1971","T3D2417","inhalation"
"1972","T3D2418","inhalation"
"1973","T3D2419","inhalation"
"1974","T3D2420","inhalation"
"1975","T3D2421","inhalation"
"1976","T3D2422","inhalation"
"1977","T3D2423","inhalation"
"1978","T3D2424","inhalation"
"1979","T3D2425","inhalation"
"1980","T3D2426","inhalation"
"1981","T3D2427","inhalation"
"1982","T3D2428","inhalation"
"1983","T3D2429","inhalation"
"1984","T3D2430","inhalation"
"1985","T3D2431","inhalation"
"1986","T3D2432","inhalation"
"1987","T3D2433","inhalation"
"1988","T3D2434","inhalation"
"1989","T3D2435","inhalation"
"1990","T3D2436","inhalation"
"1991","T3D2437","inhalation"
"1992","T3D2438","inhalation"
"1993","T3D2439","inhalation"
"1994","T3D2440","inhalation"
"1995","T3D2441","inhalation"
"1996","T3D2442","inhalation"
"1997","T3D2443","inhalation"
"1998","T3D2444","inhalation"
"1999","T3D2445","inhalation"
"2000","T3D2446","inhalation"
"2001","T3D2447","inhalation"
"2002","T3D2450","oral"
"2003","T3D2450","dermal"
"2004","T3D2450","inhalation"
"2005","T3D2450","parenteral"
"2006","T3D2451","oral"
"2007","T3D2451","dermal"
"2008","T3D2451","inhalation"
"2009","T3D2451","parenteral"
"2010","T3D2452","oral"
"2011","T3D2452","dermal"
"2012","T3D2452","inhalation"
"2013","T3D2452","parenteral"
"2014","T3D2453","oral"
"2015","T3D2453","dermal"
"2016","T3D2453","inhalation"
"2017","T3D2453","parenteral"
"2018","T3D2454","oral"
"2019","T3D2454","dermal"
"2020","T3D2454","inhalation"
"2021","T3D2454","parenteral"
"2022","T3D2455","oral"
"2023","T3D2455","dermal"
"2024","T3D2455","inhalation"
"2025","T3D2455","parenteral"
"2026","T3D2456","oral"
"2027","T3D2456","dermal"
"2028","T3D2456","inhalation"
"2029","T3D2456","parenteral"
"2030","T3D2457","oral"
"2031","T3D2457","dermal"
"2032","T3D2457","inhalation"
"2033","T3D2457","parenteral"
"2034","T3D2458","oral"
"2035","T3D2458","dermal"
"2036","T3D2458","inhalation"
"2037","T3D2458","parenteral"
"2038","T3D2460","oral"
"2039","T3D2460","dermal"
"2040","T3D2460","inhalation"
"2041","T3D2460","parenteralthebioavailabilityofsublinguallyadministeredergotaminehasnotbeendetermined"
"2042","T3D2462","ingestion"
"2043","T3D2462","dermaleyecontact"
"2044","T3D2463","oral"
"2045","T3D2464","oral"
"2046","T3D2465","oral"
"2047","T3D2466","oral"
"2048","T3D2467","oral"
"2049","T3D2467","dermal"
"2050","T3D2467","inhalation"
"2051","T3D2467","parenteral"
"2052","T3D2468","oral"
"2053","T3D2468","dermal"
"2054","T3D2468","inhalation"
"2055","T3D2468","parenteral"
"2056","T3D2469","oral"
"2057","T3D2469","dermal"
"2058","T3D2469","inhalation"
"2059","T3D2469","parenteral"
"2060","T3D2470","oral"
"2061","T3D2470","dermal"
"2062","T3D2470","inhalation"
"2063","T3D2470","parenteral"
"2064","T3D2471","oral"
"2065","T3D2471","dermal"
"2066","T3D2471","inhalation"
"2067","T3D2471","parenteral"
"2068","T3D2472","oral"
"2069","T3D2472","dermal"
"2070","T3D2472","inhalation"
"2071","T3D2472","parenteral"
"2072","T3D2473","oral"
"2073","T3D2473","dermal"
"2074","T3D2473","inhalation"
"2075","T3D2473","parenteral"
"2076","T3D2474","oral"
"2077","T3D2477","injectioninsulinisgenerallywellabsorbed"
"2078","T3D2478","ingestion"
"2079","T3D2478","injection"
"2080","T3D2478","skincontactabsorptionofofloxacinaftersingleormultipledosesof200to400mgispredictable"
"2081","T3D2478","theamountofdrugabsorbedincreasesproportionatelywiththedose"
"2082","T3D2479","ingestion"
"2083","T3D2479","inhalation"
"2084","T3D2480","oralpeakplasmaconcentrationsoccur2-12hoursfollowingoralorintramuscularadministration"
"2085","T3D2481","ingestion"
"2086","T3D2481","injectionorinhalation"
"2087","T3D2482","ingestionbioavailabilityis70to80%followingoraladministration"
"2088","T3D2483","oralgastrointestinalabsorptionisuniform"
"2089","T3D2483","rapid"
"2090","T3D2483","essentiallycomplete"
"2091","T3D2484","oral"
"2092","T3D2486","inhalationoralabsorptionisdosedependentinadultsleukemicpediatricpatientsinadults"
"2093","T3D2486","peakserumlevelsarereachedwithinonetotwohoursatdosesof30mg/m^2orless"
"2094","T3D2486","methotrexateisgenerallywellabsorbedwithameanbioavailabilityof60%atdosesgreaterthan80mg/m^2"
"2095","T3D2486","theabsorptionofthedosesissignificantlylessduetoasaturationeffect"
"2096","T3D2487","injection"
"2097","T3D2489","injection"
"2098","T3D2490","injection"
"2099","T3D2491","injection"
"2100","T3D2492","injection"
"2101","T3D2493","injection"
"2102","T3D2494","injection"
"2103","T3D2495","injection"
"2104","T3D2496","injection"
"2105","T3D2497","injection"
"2106","T3D2498","injection"
"2107","T3D2499","injection"
"2108","T3D2500","injection"
"2109","T3D2501","injection"
"2110","T3D2502","injection"
"2111","T3D2503","injection"
"2112","T3D2505","injection"
"2113","T3D2506","injection"
"2114","T3D2507","injection"
"2115","T3D2508","injection"
"2116","T3D2509","injection"
"2117","T3D2510","injection"
"2118","T3D2511","injection"
"2119","T3D2512","injection"
"2120","T3D2513","injection"
"2121","T3D2514","injection"
"2122","T3D2515","injection"
"2123","T3D2516","injection"
"2124","T3D2517","injection"
"2125","T3D2518","injection"
"2126","T3D2519","injection"
"2127","T3D2520","injection"
"2128","T3D2521","injection"
"2129","T3D2522","injection"
"2130","T3D2523","injection"
"2131","T3D2524","injection"
"2132","T3D2525","injection"
"2133","T3D2526","injection"
"2134","T3D2527","injestionorinhalationl1810"
"2135","T3D2528","injection"
"2136","T3D2529","injection"
"2137","T3D2530","injection"
"2138","T3D2531","injection"
"2139","T3D2532","injection"
"2140","T3D2534","ingestion"
"2141","T3D2535","ingestion"
"2142","T3D2536","ingestion"
"2143","T3D2537","injection"
"2144","T3D2538","injection"
"2145","T3D2539","injection"
"2146","T3D2540","injection"
"2147","T3D2541","injection"
"2148","T3D2542","injection"
"2149","T3D2543","injection"
"2150","T3D2544","injection"
"2151","T3D2545","injection"
"2152","T3D2546","injection"
"2153","T3D2547","injection"
"2154","T3D2549","injection"
"2155","T3D2550","injection"
"2156","T3D2551","injection"
"2157","T3D2552","injection"
"2158","T3D2553","inhalationorally-administereddalfampridineisrapidlycompletelyabsorbedfromthegastrointestinaltracttmax"
"2159","T3D2553","immediatereleaseform=1hour"
"2160","T3D2553","tmax"
"2161","T3D2553","extendedreleaseform=35hours"
"2162","T3D2553","cmax"
"2163","T3D2553","10mgextendedrelease=173-216ng/ml"
"2164","T3D2553","relativebioavailabilityof10mgextended-releasetabletscomparedtoaqueousoralsolution=96%"
"2165","T3D2554","inhalationrapidlyalmostcompletelyabsorbedfromthegitract"
"2166","T3D2555","inhalationrapidlywellabsorbed"
"2167","T3D2556","ingestionnearlycompletefollowingoraladministration"
"2168","T3D2557","inhalation"
"2169","T3D2558","inhalationrapidabsorptionfromgastrointestinaltractalthoughtherateofvalproateionabsorptionmayvarywiththeformulationadministeredistheprimarydeterminantofseizurecontrol"
"2170","T3D2560","inhalationamantadineiswellabsorbedorallyfromthegastrointestinaltract"
"2171","T3D2561","inhalationcompletelyabsorbedfromgastrointestinaltract"
"2172","T3D2562","inhalation"
"2173","T3D2563","inhalation"
"2174","T3D2564","inhalation"
"2175","T3D2564","dermalorskincontact"
"2176","T3D2564","ingestion"
"2177","T3D2565","inhalation"
"2178","T3D2565","dermalorskincontact"
"2179","T3D2565","ingestionabsorptionmaybeerraticpeakplasmaconcentrationsshowlargeinterindividualdifferences"
"2180","T3D2566","intravenous"
"2181","T3D2566","irrigation"
"2182","T3D2566","subcutaneous"
"2183","T3D2566","intraperitonealinjectionheparinmustbegivenparenterallyasitisnotabsorbedthroughthegastrointestinalmucosaitisusuallygivenbyivinfusionordeepscinjectiontheonsetofactionisimmediateafterivinjectionbutcanbedelayed20to60minutesfollowingscinjectionplasmaheparinconcentrationsmaybeincreasedactivatedpartialthromboplastintimescomparedwithyoungeradults"
"2184","T3D2567","oral"
"2185","T3D2567","inhalation"
"2186","T3D2567","dermalrapidlyabsorbedfollowingoraladministrationwithconsiderableinterindividualvariationsalsoabsorbedpercutaneously"
"2187","T3D2568","inhalation"
"2188","T3D2568","dermalorskincontact"
"2189","T3D2568","ingestion"
"2190","T3D2568","intravenous"
"2191","T3D2570","inhalation"
"2192","T3D2571","oral"
"2193","T3D2571","rapidalmostcomplete"
"2194","T3D2573","inhalation"
"2195","T3D2575","inhalationracemictramadolisrapidlyalmostcompletelyabsorbedafteroraladministrationthemeanabsolutebioavailabilityofa100mgoraldoseisapproximately75%themeanpeakplasmaconcentrationofracemictramadolm1occursattwothreehours"
"2196","T3D2575","respectively"
"2197","T3D2575","afteradministrationinhealthyadults"
"2198","T3D2576","inhalation"
"2199","T3D2576","oral"
"2200","T3D2577","ingestion"
"2201","T3D2578","inhalation"
"2202","T3D2580","injection"
"2203","T3D2581","injection"
"2204","T3D2582","injection"
"2205","T3D2584","injection"
"2206","T3D2585","injection"
"2207","T3D2587","injection"
"2208","T3D2589","injection"
"2209","T3D2590","injection"
"2210","T3D2592","ingestion"
"2211","T3D2593","ingestion"
"2212","T3D2594","ingestion"
"2213","T3D2595","ingestion"
"2214","T3D2596","ingestion"
"2215","T3D2597","ingestion"
"2216","T3D2598","ingestion"
"2217","T3D2599","ingestion"
"2218","T3D2600","ingestion"
"2219","T3D2601","ingestion"
"2220","T3D2602","ingestion"
"2221","T3D2605","ingestion"
"2222","T3D2606","ingestion"
"2223","T3D2607","ingestion"
"2224","T3D2609","ingestion"
"2225","T3D2610","ingestion"
"2226","T3D2611","ingestion"
"2227","T3D2612","ingestion"
"2228","T3D2613","ingestion"
"2229","T3D2614","ingestion"
"2230","T3D2618","ingestion"
"2231","T3D2619","ingestion"
"2232","T3D2620","ingestion"
"2233","T3D2622","ingestion"
"2234","T3D2623","ingestion"
"2235","T3D2624","injection"
"2236","T3D2625","dermal"
"2237","T3D2626","injection"
"2238","T3D2627","injection"
"2239","T3D2628","injection"
"2240","T3D2629","injection"
"2241","T3D2630","injection"
"2242","T3D2631","injection"
"2243","T3D2633","injection"
"2244","T3D2635","injection"
"2245","T3D2636","injection"
"2246","T3D2637","injection"
"2247","T3D2638","injection"
"2248","T3D2639","injection"
"2249","T3D2640","injection"
"2250","T3D2642","injection"
"2251","T3D2643","injection"
"2252","T3D2645","injection"
"2253","T3D2646","injection"
"2254","T3D2647","injection"
"2255","T3D2648","injection"
"2256","T3D2649","injection"
"2257","T3D2656","injection"
"2258","T3D2657","injection"
"2259","T3D2658","injection"
"2260","T3D2659","injection"
"2261","T3D2660","injection"
"2262","T3D2661","injection"
"2263","T3D2663","oral"
"2264","T3D2663","intravenousafteroraladministration"
"2265","T3D2663","absorptionisestimatedat1&ndash"
"2266","T3D2663","3%oftheingesteddosebecauseofthelowuptakefromthegastrointestinaltract"
"2267","T3D2665","parenteralplasmaconcentrationrisesrapidlyuponivadministration"
"2268","T3D2666","relativetoanintravenouswhenadministeredafteranovernightfast2hoursbeforebreakfast"
"2269","T3D2667","poorlyabsorbedabsorptionisimpairedbyanykindoffoodordrinkotherthanplainwater"
"2270","T3D2668","rapidabsorptionafteranoraldose"
"2271","T3D2668","occursthroughouttheuppergastrointestinaltract"
"2272","T3D2669","intravenouspoorlyabsorbed"
"2273","T3D2670","injestionordermalcontact"
"2274","T3D2671","intravenous"
"2275","T3D2672","oral"
"2276","T3D2673","ingestionabsorptionzaleplonisrapidlyalmostcompletelyabsorbedfollowingoraladministration"
"2277","T3D2674","inhalationbioavailabilityiscompletefollowingintravenousadministrationwhenasingle2-hourintravenousinfusionofoxaliplatinatadoseof85mg/m^2isgiven"
"2278","T3D2674","thepeakserumconcentrationwas0814mcg/ml"
"2279","T3D2675","inhalationlinezolidisrapidlyextensivelyabsorbedafteroraldosingmaximumplasmaconcentrationsarereachedapproximately1to2hoursafterdosing"
"2280","T3D2675","theabsolutebioavailabilityisapproximately100%"
"2281","T3D2676","inhalationwellabsorbedfollowingoraladministrationthebioavailabilityofmethadonerangesbetween36to100%"
"2282","T3D2677","oral"
"2283","T3D2679","oralreadilyabsorbedingitractprimarilyinsmallintestineenhancedbyfoodordelayedgastricemptyingviaenhanceddissolutionrateofthedrug"
"2284","T3D2680","inhalationbioavailabilityisapproximately20%peakplasmaconcentrationswerereached3to5hoursfollowingoraldosingbothcmaxaucincreasedinapproximateproportiontocrestordosefoodhasnoeffectontheaucofrosuvastatin"
"2285","T3D2690","oralsystemic-approximately50%"
"2286","T3D2692","intravenous"
"2287","T3D2692","oralrapidlyabsorbedfromtheintestine"
"2288","T3D2694","oral"
"2289","T3D2694","readilyabsorbed"
"2290","T3D2696","oral"
"2291","T3D2696","parenteralabsorbedmainlyfromduodenum"
"2292","T3D2696","bybothactivepassiveprocesses"
"2293","T3D2697","oral"
"2294","T3D2697","readilyabsorbed"
"2295","T3D2698","intravenous"
"2296","T3D2698","oral"
"2297","T3D2699","oral"
"2298","T3D2699","readilyabsorbedfromthenormalgastrointestinaltract"
"2299","T3D2700","oral"
"2300","T3D2700","topical"
"2301","T3D2700","intramuscular50to80%absorbedfromgastrointestinaltract"
"2302","T3D2701","oral"
"2303","T3D2701","parenteralthebvitaminsarereadilyabsorbedfromthegastrointestinaltract"
"2304","T3D2701","exceptinmalabsorptionsyndromespyridoxineisabsorbedmainlyinthejejunum"
"2305","T3D2702",NA
"2306","T3D2703","oral"
"2307","T3D2703","readilyabsorbed"
"2308","T3D2704","variablerangesfrom10%to80%"
"2309","T3D2705","oralwellabsorbed"
"2310","T3D2705","bioavailabilityoffluvoxaminemaleateis53%"
"2311","T3D2706","oralamphetamineformseasilyabsorbedmoleculesthatarehighlylipidsoluble"
"2312","T3D2707","parenteral"
"2313","T3D2707","oralreadilyabsorbedwithanabsolutebioavailabilityof90%whengivenorallywhenintramuscularlyadministered"
"2314","T3D2707","lorazepamiscompletelyrapidlyabsorbeditachievesmaxserumconcentrationin3hoursthemaxserumconcentrationofa4mgdoseis48ng/ml"
"2315","T3D2708","oral"
"2316","T3D2708","rapidlyabsorbedfromgastrointestinaltract"
"2317","T3D2709","phentermineisrapidlyabsorbedafteroralingestion"
"2318","T3D2711","intravenous"
"2319","T3D2711","oral"
"2320","T3D2712","readilyabsorbedafteroralorparenteraladministrationthepeakplasmalevelforcaffeinerangefrom6-10mg/lthemeantimetoreachpeakconcentrationrangedfrom30minutesto2hours"
"2321","T3D2713","oral"
"2322","T3D2715","rapidlywellabsorbedfromthegitractpeakplasmaconcentrationsoccurwithin4hoursofasingleorallyadministereddosebioavailabilityis80%followingoraladministrationfooddoesnotaffectabsorption"
"2323","T3D2717","rapidlyabsorbedintothecirculationviathelungs"
"2324","T3D2719","oral"
"2325","T3D2719","wellabsorbed"
"2326","T3D2719","minimalfirst-passmetabolism"
"2327","T3D2720","reboxetineisrapidlyextensivelyabsorbedfollowingoraladministration"
"2328","T3D2721",NA
"2329","T3D2722","topical"
"2330","T3D2722","systemicabsorptionofoxiconazoleislow"
"2331","T3D2724","intravenous"
"2332","T3D2724","oralonsetofactionis1-2hoursfollowingoraladministrationtheonsetofactioniswithinminuteswhenadministeredbyimorivinjection"
"2333","T3D2726","ingestion"
"2334","T3D2726","rapid"
"2335","T3D2727","oralfirst-passeffectisseen"
"2336","T3D2727","howevertheabsolutebioavailabilityisunknown"
"2337","T3D2728","intravenous"
"2338","T3D2728","oral"
"2339","T3D2728","intramuscularbioavailability70-100%oral"
"2340","T3D2728","244%forrectalintravenousadministrationrapidrateofabsorptionwithpeakbloodconcentrationexpectedin1&frac12"
"2341","T3D2728","to3hours"
"2342","T3D2729","poorlyerraticallyabsorbedorally"
"2343","T3D2729","minimalvaginalortopicalabsorption"
"2344","T3D2731","oralabsolutebioavailabilityis55%"
"2345","T3D2731","indicatingafirstpasseffectfooddoesnotaffecttheextentofabsorption"
"2346","T3D2733","oralrapidwithpleakplasmaconcentrationsoccurringafter2hoursabioavailabilityof80%thepharmacokineticprofileoftheextendedreleaseformulationisnonlinearat25mgduetobindingoftopiramatetocarbonicanhydraseinredbloodcellsthepeakplasmaconcentrationwas24hoursafterasingle200mgoraldoseoftheextendedreleaseformulationitisalsobioequivalenttoimmediate-releasetabletthathasbeenadministeredtwice-dailyfluctuationoftopiramateplasmaconcentrationsatsteady-statefortrokendixr&#174"
"2347","T3D2733","administeredonce-dailywasapproximately26%42%inhealthysubjectsinepilepticpatients"
"2348","T3D2733","respectively"
"2349","T3D2733","comparedtoapproximately40%51%"
"2351","T3D2733","forimmediate-releasetopiramatewhentopiramateisgiventoelderlyyoungadults"
"2352","T3D2733","themaximumplasmaconcentrationwasachievedin1to2hours"
"2353","T3D2735","intravenous"
"2354","T3D2735","topical"
"2355","T3D2735","oral"
"2356","T3D2735","buccal"
"2357","T3D2735","dental"
"2358","T3D2735","intramuscular"
"2359","T3D2735","orurethralinjection"
"2360","T3D2735","infiltrationinformationderivedfromdiverseformulations"
"2361","T3D2735","concentrationsusagesrevealsthatlidocaineiscompletelyabsorbedfollowingparenteraladministration"
"2362","T3D2735","itsrateofabsorptiondepending"
"2363","T3D2735","forexample"
"2364","T3D2735","uponvariousfactorssuchasthesiteofadministrationthepresenceorabsenceofavasoconstrictoragent"
"2365","T3D2736","oralvenlafaxineiswellabsorbedfooddoesnoteffecttheabsorptionofvenlafaxineoritssubsequentmetabolismintoodvbioavailabilityis45%followingoraladministrationtimetosteadystate=3days"
"2366","T3D2737","atomoxetineisrapidlyabsorbedafteroraladministration"
"2367","T3D2737","withabsolutebioavailabilityofabout63%inems94%inpmsdrugsthatelevategastricphhavenoeffectonatomoxetinebioavailabilityabsorptionisminimallyaffectedbyfood"
"2368","T3D2738","intravenous"
"2369","T3D2738","systemicabsorptionisapproximately45%"
"2370","T3D2740","intravenous"
"2371","T3D2740","topical"
"2372","T3D2740","oral"
"2373","T3D2740","intramuscular"
"2374","T3D2740","epidural"
"2375","T3D2740","rectalbioavailabilityisapproximately30%"
"2376","T3D2741","epiduralbioavailabilityis87%-98%followingepiduraladministration"
"2377","T3D2742","epidural"
"2378","T3D2742","intraspinal"
"2379","T3D2742","infiltrationtherateofsystemicabsorptionoflocalanestheticsisdependentuponthetotaldoseconcentrationofdrugadministered"
"2380","T3D2742","therouteofadministration"
"2381","T3D2742","thevascularityoftheadministrationsite"
"2382","T3D2742","thepresenceorabsenceofepinephrineintheanestheticsolution"
"2383","T3D2743","intravesical"
"2384","T3D2743","erratic"
"2385","T3D2743","intravenous"
"2386","T3D2745","barbituratesareabsorbedinvaryingdegreesfollowingintravenous"
"2387","T3D2745","oral"
"2388","T3D2745","rectal"
"2389","T3D2745","orparenteraladministration"
"2390","T3D2748","topical"
"2391","T3D2748","oralmeanabsoluteoralbioavailabilityisapproximately40%foodhasnoaffectontherateextentofabsorption"
"2392","T3D2749","oral"
"2393","T3D2749","intramuscularwellabsorbedfollowingoraladministrationwithabioavailabilityofapproximately90%maximumplasmaconcentrationoccurs60minutespost-administrationfooddoesnoteffecttherateorextentofabsorptionofcodeine"
"2394","T3D2750","intravenousinterpatientvariablemaybedependentontheadministrationtechnique"
"2395","T3D2751","oral"
"2396","T3D2751","rapidlyabsorbed"
"2397","T3D2752","parentalbetterabsorbedorallythanmorphine"
"2398","T3D2753","parenteral"
"2399","T3D2753","oralbioavailabilityisapproximately100%followingoraladministration80-90%followingrectaladministration"
"2400","T3D2754","intramuscular"
"2401","T3D2754","oralwellabsorbed"
"2402","T3D2754","withapproximately40%ofthedosemetabolizedbeforereachingthesystemiccirculation"
"2403","T3D2755","absorbedinthegastrointestinaltractfollowingoraladministration"
"2404","T3D2755","howevertheextentofabsorptionisnotknown"
"2405","T3D2756","oral"
"2406","T3D2756","meanpeakplasmaconcentrationof22hourspostdosewasobservedforcetirizine"
"2407","T3D2757","oralonthebasisofamassbalancestudyusing14clabeledterfenadinetheoralabsorptionofterfenadinewasestimatedtobeatleast70%"
"2408","T3D2758","intravenous"
"2409","T3D2758","oraldiltiazemiswellabsorbedfromthegastrointestinaltractbutundergoessubstantialhepaticfirst-passeffect"
"2410","T3D2759","oral"
"2411","T3D2760",NA
"2412","T3D2763","injection"
"2413","T3D2764","oral"
"2414","T3D2764","rapidalmostcomplete"
"2415","T3D2767","oralrapidcomplete"
"2416","T3D2767","but"
"2417","T3D2767","duetofirst-passmetabolism"
"2418","T3D2767","absolutebioavailabilityis50%"
"2419","T3D2770","oraltrihexyphenidylisrapidlyabsorbedfromthegastrointestinaltract"
"2420","T3D2771","ivadministrationresultsincompletebioavailability"
"2421","T3D2772","oraltacrineisrapidlyabsorbedabsolutebioavailabilityoftacrineisapproximately17%"
"2422","T3D2773","oral"
"2423","T3D2777","oralreadilyabsorbedfromthegastrointestinaltractbioavailabilityis80-90%"
"2424","T3D2779","oral"
"2425","T3D2779","intramuscularsystemicbioavailabilityoftheparentdrugwasonlyaboutonethirdthatafteranequivalentintramusculardoseinmalevolunteers"
"2426","T3D2783","oral"
"2427","T3D2783","rapidabsolutebioavailabilityisgreaterthan90%"
"2428","T3D2783","indicatingthatpramipexoleiswellabsorbedundergoeslittlepresystemicmetabolismfooddoesnotaffecttheextentofabsorption"
"2429","T3D2784","oral"
"2430","T3D2786","oralreadilyabsorbedinabiphasicmannerwhenorallyadministeredtochildrendiagnosedwithadhdtohealthyadultsinchildrenadultsmales"
"2431","T3D2786","afteradministrationofasingleoraldoseofritalinlaritalingivenintwodoses4hoursapart"
"2432","T3D2786","peakplasmaconcentrationisreachedapproximately2hoursforthefirstphase5-6hoursforthesecondphasetheabsoluteoralbioavailabilityofmethylphenidateinchildrenwas22&#177"
"2433","T3D2786","8%ford-methylphenidate5&#177"
"2434","T3D2786","3%forl-methylphenidatetheselowvaluessuggestthatmethylphenidateishighlymetabolizedpresystemically"
"2435","T3D2787","oralzolpidemisrapidlyabsorbedfromthegitract"
"2436","T3D2788","intravenouspoororalabsorption"
"2437","T3D2789","intravenous"
"2438","T3D2789","oral"
"2439","T3D2789","rectalrapidlyabsorbedfollowingoraladministration"
"2440","T3D2790","wellabsorbedafteroraladministration"
"2441","T3D2791","intravenous"
"2442","T3D2795","intravenous"
"2443","T3D2795","oral"
"2444","T3D2795","parenteralmeperidineislessthanhalfaseffectivewhenadministeredorallycomparedtoparenteraladministrationonestudyreportedthat80-85%ofthedrugadministeredintramuscularlywasabsorbedwithin6hoursofintraglutealinjectioninhealthadults"
"2445","T3D2795","however"
"2446","T3D2795","inter-individualvariationpatient-specificvariableappeartocauseconsiderablevariationsinabsorptionuponiminjection"
"2447","T3D2796","rapidlyabsorbedfollowingoraladministration"
"2448","T3D2797","rapidlywellabsorbedafteroraladministrationbioavailabilityisapproximately43%peakplasmaconcentrationsusuallyattained1-2hoursfollowingoraladministrationabsorptionisunaffectedbyfood"
"2449","T3D2798",NA
"2450","T3D2800","oral"
"2451","T3D2801","oral"
"2452","T3D2802","wellabsorbedfromthegitractfollowingoraladministrationoralbioavailabilityisestimatedtobeatleast60-80%peakplasmaconcentrationsoccurwithin6-8hoursfollowingasingleoraladministrationofa40mgdosetheoralsolutiondelayed-releasecapsulearebioequivalentfooddoesnotaffectthesystemicbioavailabilityoffluoxetinebutitdelaystheabsorptionby1-2hoursprozacweeklycapsules"
"2453","T3D2802","adelayed-releaseformulation"
"2454","T3D2802","containenteric-coatedpelletsthatresistdissolutionuntilreachingasegmentofthegastrointestinaltractwherethephexceeds55theentericcoatingdelaystheonsetofabsorptionoffluoxetine1to2hoursrelativetotheimmediate-releaseformulations"
"2455","T3D2803","parenteraltheabsolutebioavailabilityfollowingrectaladministrationofmethohexitalis17%"
"2456","T3D2804","oral"
"2457","T3D2805","orallyadministeredduloxetinehydrochlorideiswellabsorbed"
"2458","T3D2806","oral"
"2459","T3D2806","intravenousreadilyabsorbedfromthegitractbioavailabilityvariesduetofirst-passmetabolismbytheliver"
"2460","T3D2807","oralrapidlyabsorbedinmanbioavailabilityislowvariableduetoextensivefirstpassmetabolism"
"2461","T3D2808","oralentacaponeisrapidlyabsorbedtheabsolutebioavailabilityfollowingoraladministrationis35%"
"2462","T3D2809","oral"
"2463","T3D2809","enteralwellabsorbedwithanoralbioavailabilityof60%to87%"
"2464","T3D2810","oral"
"2465","T3D2810","rapid60-70%"
"2466","T3D2813","absorptionmaybeerraticpeakplasmaconcentrationsshowlargeinterindividualdifferences"
"2467","T3D2815","oral"
"2468","T3D2815","rapidlyabsorbedfromthegastrointestinaltract"
"2469","T3D2818","oral"
"2470","T3D2818","wellabsorbedfromthegitractpeakplasmaconcentrationsoccur7-85hoursfollowingoraladministration"
"2471","T3D2819","oral"
"2472","T3D2819","rapidlyalmostcompletelyabsorbedfromthegitractpeakplasmaconcentrationsoccurwithin1-2hoursoforaladministrationofasingledoser"
"2473","T3D2820","poorlyabsorbedfromthegitractwithanoralbioavailabilityof76+/-24%"
"2474","T3D2822","notabsorbedorally"
"2475","T3D2822","crossesbloodbrainbarrier"
"2476","T3D2823","oral"
"2477","T3D2823","intramuscularrapidlyabsorbedfromthegastrointestinaltract"
"2478","T3D2825","absorbedinthedigestivetract"
"2479","T3D2826","oralinclinicalstudies"
"2480","T3D2826","carbamazepinesuspension"
"2481","T3D2826","conventionaltablets"
"2482","T3D2826","extended-releasetabletsdeliveredequivalentamountsofdrugtothesystemiccirculationhowever"
"2483","T3D2826","ithasbeenobservedthatthesuspensionissomewhatfasterabsorbedfurthermore"
"2484","T3D2826","theextended-releasetabletisslightlyslowerthantheconventionaltabletthebioavailabilityoftheextended-releasetabletis89%"
"2485","T3D2826","comparedtothesuspensionplasmalevelsofcarbamazepinearevariablethetimetopeakconcentrationforthedifferentformulationsareasfollows:suspension=15hours"
"2486","T3D2826","conventionaltablets=4-5hours"
"2487","T3D2826","extended-releasetablets=3-12hours"
"2488","T3D2829","wellabsorbedfollowingoraladministrationbioavailabilityfollowingchronicadministrationisapproximately65%"
"2489","T3D2830",NA
"2490","T3D2832","intravenous"
"2491","T3D2832","oralabsolutebioavailabilityis15%timetomaximumplasmaconcentrationwasfoundtobe33hours"
"2492","T3D2834","bioavailabilityfollowingoraladministrationis93%"
"2493","T3D2835","parenteralrapidlyabsorbed"
"2494","T3D2836","cisaprideisrapidlyabsorbedafteroraladministration"
"2495","T3D2836","withanabsolutebioavailabilityof35-40%"
"2496","T3D2837","rapidlyabsorbedafterintramuscularinjectionpeakplasmalevelsarereachedin20-40minutestheabsolutebioavailabilityis60-70%isunchangedinpatientswithallergicrhinitisinpatientsusinganasalvasoconstrictorthefractionofthedoseabsorbedwasunchanged"
"2497","T3D2837","buttherateofabsorptionwasslowedoralbioavailabilityisonly5-17%becauseofextensivefirst-passmetabolism"
"2498","T3D2838","rifabutinisreadilyabsorbedfromthegastrointestinaltract"
"2499","T3D2838","withanabsolutebioavailabilityaveraging20%"
"2500","T3D2839","rapidviathedigestivetract"
"2501","T3D2840","oral"
"2502","T3D2840","intramuscular"
"2503","T3D2841","oralbothnicotinicacidnicotinamideareefficientlyabsorbedfromthestomachsmallintestine"
"2504","T3D2842","rapidlyabsorbedfollowingoraladministration"
"2505","T3D2844","oralrapidlyabsorbedfromthegastrointestinaltract"
"2506","T3D2847","oral"
"2507","T3D2847","topicalnystatinisnotabsorbedfromintactskinormucousmembrane"
"2508","T3D2848","oral"
"2509","T3D2849","followingoraladministration"
"2510","T3D2849","leucovorinisrapidlyabsorbedtheapparentbioavailabilityofleucovorinwas97%for25mg"
